OpenAPI feature,Count
ServerVariable,0
Response,5
SchemaExtension_Depth_2,0
Format_int64_Depth_2,2
ExampleComponent,0
RequestBodyComponent,0
SchemaType_integer,289
MediaTypeExtension,0
SchemaExtension_Depth_3,0
ParameterComponent,11
OAuthFlowExtension,0
SchemaType_object,172
ResponseLink,0
Properties_Depth_3,50
ExternalDocExtension,0
GlobalExtension,0
Server,1
ResponsesExtension,0
SchemaType_boolean,6
Path_Post,1
RequestBodyExtension,0
OperationExtension,0
Encoding,0
ResponseContent_application/json,5
RequestBodyContent,1
SecurityScheme_Type_oauth2,2
Callback,0
SecuritySchemeComponent,2
ServerExtension,0
Header,0
ResponseContent,5
Enum_Depth_2,57
Properties_Depth_2,274
MediaTypeEncoding,0
OAuthFlowAuthorizationUrl,2
GlobalWebhook,0
PathExtension,0
Format_int32_Depth_2,119
Path,5
OperationTag,5
RequiredParameter,5
Enum_Depth_1,66
ParameterExtension,0
PathServer,0
SchemaComponent,30
GlobalExternalDoc,1
ResponseExtension,0
RequestBodyContent_application/json,1
Component,43
OAuthFlowsExtension,0
Enum_Depth_3,0
Format_int64_Depth_3,8
Path_Get,4
Operation,5
OperationParameter,54
SchemaType_string,357
Example,0
ResponseCode_200,5
Format_google-duration_Depth_2,17
ResponseComponent,0
HeaderComponent,0
Tag,2
path_Parameter,5
Properties_Depth_1,344
SchemaExtension_Depth_1,0
query_Parameter,115
Format_google-duration_Depth_1,19
Responses,5
Items_Depth_1,34
Items_Depth_2,14
RequestBody,1
Format_int64_Depth_1,1
ComponentExtension,0
CallbackComponent,0
TagExtension,0
SchemaType_array,48
Link,0
RefSchema_Depth_3,20
OAuthFlowScopes,2
SecuritySchemeExtension,0
RefSchema_Depth_1,59
OAuthFlow,2
OauthFlowTokenUrl,1
ResponseHeader,0
RefSchema_Depth_2,63
PathParameter,55
Format_int32_Depth_1,139
LinkComponent,0
