OpenAPI feature,Count
OperationExtension,0
Example,0
GlobalExternalDoc,1
OperationTag,1
OperationParameter,1
ParameterExtension,0
Callback,0
ComponentExtension,0
Tag,1
RequestBodyExtension,0
ResponseCode_200,1
SchemaType_array,8
GlobalWebhook,0
Server,1
TagExtension,0
SchemaType_string,68
Properties_Depth_1,72
Enum_Depth_2,20
query_Parameter,22
PathExtension,0
Component,22
Path,1
Path_Post,1
RequestBody,1
ResponseContent_application/json,1
OAuthFlowsExtension,0
SecurityScheme_Type_oauth2,2
OAuthFlowAuthorizationUrl,2
OAuthFlowScopes,2
SecuritySchemeExtension,0
RequestBodyComponent,0
OAuthFlow,2
CallbackComponent,0
Items_Depth_1,8
SchemaType_boolean,6
PathParameter,11
SchemaComponent,9
Header,0
SchemaExtension_Depth_2,0
ParameterComponent,11
GlobalExtension,0
MediaTypeExtension,0
ResponseExtension,0
Link,0
HeaderComponent,0
ServerExtension,0
RequiredParameter,1
Encoding,0
Enum_Depth_1,72
SecuritySchemeComponent,2
Responses,1
Format_int64_Depth_1,8
ExternalDocExtension,0
ResponseContent,1
Properties_Depth_2,0
PathServer,0
ResponseComponent,0
SchemaExtension_Depth_1,0
RefSchema_Depth_1,23
Response,1
ResponsesExtension,0
OAuthFlowExtension,0
OauthFlowTokenUrl,1
ResponseLink,0
ExampleComponent,0
LinkComponent,0
RequestBodyContent,1
RequestBodyContent_application/json,1
SchemaType_object,32
MediaTypeEncoding,0
ServerVariable,0
Operation,1
path_Parameter,1
ResponseHeader,0
