OpenAPI feature,Count
ResponsesExtension,0
Format_uint32_Depth_3,16
OAuthFlow,2
SecuritySchemeExtension,0
Enum_Depth_4,0
Format_uint32_Depth_4,6
Path,9
OperationTag,9
Items_Depth_1,24
Items_Depth_2,26
Properties_Depth_3,148
MediaTypeEncoding,0
Component,18
ComponentExtension,0
PathParameter,63
OauthFlowTokenUrl,1
Tag,3
Operation,9
Encoding,0
SchemaType_integer,107
Minimum_Depth_1,6
ResponseContent_application/json,9
ParameterExtension,0
Responses,9
ResponseHeader,0
SchemaType_object,257
Link,0
OAuthFlowAuthorizationUrl,2
SecurityScheme_Type_oauth2,2
OAuthFlowExtension,0
Path_Get,9
Enum_Depth_1,21
Maximum_Depth_1,6
Response,9
RefSchema_Depth_1,13
Properties_Depth_4,21
Example,0
SchemaType_array,53
MediaTypeExtension,0
Format_uint32_Depth_1,8
GlobalWebhook,0
OperationParameter,29
ResponseCode_200,9
Properties_Depth_2,538
Format_double_Depth_2,6
Format_int32_Depth_2,32
SchemaType_number,12
GlobalExtension,0
ServerVariable,0
ResponseExtension,0
PathExtension,0
LinkComponent,0
Callback,0
Format_date-time_Depth_1,13
path_Parameter,10
ResponseComponent,0
CallbackComponent,0
ServerExtension,0
OperationExtension,0
query_Parameter,89
SchemaType_boolean,40
ResponseLink,0
SchemaComponent,9
GlobalExternalDoc,1
Header,0
Enum_Depth_3,0
SchemaExtension_Depth_3,0
RefSchema_Depth_3,3
ExampleComponent,0
OAuthFlowScopes,8
HeaderComponent,0
ExternalDocExtension,0
SecuritySchemeComponent,2
RequiredParameter,12
SchemaType_string,781
Enum_Depth_2,0
Items_Depth_3,3
SchemaExtension_Depth_4,0
ParameterComponent,7
TagExtension,0
Properties_Depth_1,373
RefSchema_Depth_2,18
Format_uint32_Depth_2,19
Format_date-time_Depth_2,10
Format_double_Depth_1,6
Server,1
SchemaExtension_Depth_1,0
ResponseContent,9
SchemaExtension_Depth_2,0
Format_int32_Depth_1,20
PathServer,0
RequestBodyComponent,0
OAuthFlowsExtension,0
