OpenAPI feature,Count
SecurityScheme_Type_oauth2,2
OperationExtension,0
OperationTag,1
path_Parameter,1
Header,0
SchemaType_object,75
RefSchema_Depth_4,4
Operation,1
ResponseHeader,0
ResponseContent_application/json,1
Properties_Depth_3,38
OauthFlowTokenUrl,1
GlobalWebhook,0
OAuthFlowScopes,2
ExternalDocExtension,0
TagExtension,0
ParameterExtension,0
ResponseCode_200,1
Enum_Depth_4,16
SchemaComponent,17
Format_byte_Depth_2,4
PathServer,0
SecuritySchemeComponent,2
RequiredParameter,1
Response,1
RefSchema_Depth_2,12
Items_Depth_2,13
Enum_Depth_3,4
MediaTypeExtension,0
ComponentExtension,0
ServerVariable,0
Path,1
Schema_Depth_1,147
RefSchema_Depth_1,15
Format_google-datetime_Depth_1,2
OAuthFlowAuthorizationUrl,2
Path_Get,1
ResponsesExtension,0
SchemaExtension_Depth_5,0
Format_byte_Depth_1,1
ResponseComponent,0
OperationParameter,4
Encoding,0
Items_Depth_1,9
Format_int32_Depth_2,6
Callback,0
OAuthFlowExtension,0
Tag,4
SchemaType_array,35
OAuthFlow,2
CallbackComponent,0
Properties_Depth_4,8
ResponseLink,0
Server,1
SchemaType_string,107
Responses,1
ResponseContent,1
SchemaType_boolean,5
AdditionalProperties_Depth_3,2
ParameterComponent,11
HeaderComponent,0
query_Parameter,25
Schema_Depth_3,57
PathExtension,0
Enum_Depth_5,0
OAuthFlowsExtension,0
GlobalExternalDoc,1
Schema_Depth_2,58
Enum_Depth_2,4
Schema_Depth_4,19
SchemaExtension_Depth_4,0
Items_Depth_4,4
Properties_Depth_5,0
Enum_Depth_1,32
SchemaExtension_Depth_3,0
Link,0
RefSchema_Depth_3,13
SchemaExtension_Depth_1,0
Example,0
MediaTypeEncoding,0
SecuritySchemeExtension,0
LinkComponent,0
Component,30
Schema_Depth_5,4
ExampleComponent,0
Properties_Depth_1,103
SchemaExtension_Depth_2,0
AdditionalProperties_Depth_2,6
ResponseExtension,0
Format_int32_Depth_1,46
AdditionalProperties_Depth_1,6
RequestBodyComponent,0
ReadOnlySchema_Depth_1,4
GlobalExtension,0
ServerExtension,0
SchemaType_integer,53
Properties_Depth_2,43
PathParameter,11
Items_Depth_3,9
