OpenAPI feature,Count
Items_Depth_2,238
ComponentExtension,0
ResponseLink,0
Schema_Depth_5,14
Header,0
path_Parameter,22
ResponseContent,22
RefSchema_Depth_3,127
SchemaExtension_Depth_4,0
ResponseComponent,0
OauthFlowTokenUrl,1
GlobalWebhook,0
OperationExtension,0
Format_google-duration_Depth_1,19
Format_google-datetime_Depth_3,4
SchemaType_boolean,858
PathExtension,0
ExampleComponent,0
SecuritySchemeExtension,0
SchemaExtension_Depth_2,0
Format_google-duration_Depth_3,2
Response,22
SchemaType_integer,227
AdditionalProperties_Depth_1,27
Format_byte_Depth_4,6
Path,18
RequestBody,12
RefSchema_Depth_1,308
MediaTypeExtension,0
Format_byte_Depth_2,50
Format_int64_Depth_1,1
Server,1
Items_Depth_1,292
Format_int64_Depth_2,2
Format_int32_Depth_5,14
SchemaType_object,895
SchemaComponent,60
OAuthFlowAuthorizationUrl,2
Component,73
Properties_Depth_5,0
CallbackComponent,0
ParameterExtension,0
ResponsesExtension,0
Format_int32_Depth_2,20
AdditionalProperties_Depth_3,2
SecuritySchemeComponent,2
Operation,22
ReadOnlySchema_Depth_2,46
Format_int32_Depth_3,93
Format_int32_Depth_4,56
Link,0
Schema_Depth_2,1401
Enum_Depth_2,101
Schema_Depth_3,588
RequestBodyComponent,0
RequestBodyContent,12
query_Parameter,238
Format_google-datetime_Depth_2,28
SchemaExtension_Depth_3,0
Properties_Depth_3,326
RefSchema_Depth_2,327
Format_byte_Depth_3,26
Format_int32_Depth_1,37
PathParameter,198
Schema_Depth_4,125
Enum_Depth_5,0
RequestBodyExtension,0
SchemaType_array,635
ResponseExtension,0
OAuthFlowsExtension,0
ServerExtension,0
SchemaExtension_Depth_5,0
OAuthFlow,2
GlobalExternalDoc,1
OperationTag,22
Example,0
AdditionalProperties_Depth_2,24
ReadOnlySchema_Depth_1,67
Items_Depth_3,91
Path_Delete,1
Items_Depth_4,14
SchemaType_string,1332
Responses,22
Format_google-datetime_Depth_1,49
Enum_Depth_4,0
HeaderComponent,0
ServerVariable,0
Encoding,0
SchemaExtension_Depth_1,0
Callback,0
TagExtension,0
OperationParameter,51
RequiredParameter,22
ResponseCode_200,22
ResponseContent_application/json,22
Path_Get,9
Format_byte_Depth_1,23
ParameterComponent,11
Tag,1
Enum_Depth_3,44
PathServer,0
Path_Patch,1
RefSchema_Depth_4,20
LinkComponent,0
Properties_Depth_1,1496
Properties_Depth_2,1082
RequestBodyContent_application/json,12
ResponseHeader,0
ExternalDocExtension,0
Format_google-fieldmask_Depth_1,2
OAuthFlowScopes,2
Format_google-duration_Depth_2,10
Path_Post,11
Schema_Depth_1,1850
Enum_Depth_1,295
Properties_Depth_4,32
SecurityScheme_Type_oauth2,2
OAuthFlowExtension,0
GlobalExtension,0
MediaTypeEncoding,0
