OpenAPI feature,Count
RefSchema_Depth_3,266
PathParameter,242
Enum_Depth_2,992
ExternalDocExtension,0
SchemaExtension_Depth_4,0
Tag,2
Format_google-datetime_Depth_3,62
OAuthFlow,2
ServerVariable,0
Format_int32_Depth_1,133
OAuthFlowAuthorizationUrl,2
OAuthFlowExtension,0
Properties_Depth_1,1212
Callback,0
ReadOnlySchema_Depth_1,107
Format_int64_Depth_2,196
Schema_Depth_5,80
Format_int32_Depth_5,20
SchemaComponent,59
ParameterComponent,11
Responses,28
RefSchema_Depth_1,249
Schema_Depth_2,948
SchemaExtension_Depth_3,0
OauthFlowTokenUrl,1
Server,1
SchemaType_number,8
Format_double_Depth_1,6
ExampleComponent,0
SecurityScheme_Type_oauth2,2
Format_google-datetime_Depth_4,20
ResponseCode_200,28
ResponseContent,28
RequestBodyExtension,0
OperationTag,28
Properties_Depth_2,525
Properties_Depth_3,856
RequestBodyContent_application/json,18
RequiredParameter,26
SchemaExtension_Depth_2,0
Enum_Depth_4,230
Format_int32_Depth_3,134
CallbackComponent,0
Path,22
Header,0
Link,0
Encoding,0
Format_google-duration_Depth_1,14
Schema_Depth_1,1616
Operation,28
OperationExtension,0
ResponseContent_application/json,28
Items_Depth_2,127
Format_double_Depth_2,2
Format_google-datetime_Depth_1,16
GlobalExtension,0
ResponseComponent,0
SecuritySchemeComponent,2
TagExtension,0
SchemaExtension_Depth_1,0
OperationParameter,46
Response,28
GlobalExternalDoc,1
Example,0
Format_int64_Depth_3,36
RefSchema_Depth_4,142
Format_google-duration_Depth_2,4
GlobalWebhook,0
query_Parameter,273
Path_Post,16
Properties_Depth_4,384
RequestBodyComponent,0
Format_int32_Depth_2,63
OAuthFlowScopes,2
SchemaExtension_Depth_5,0
SchemaType_boolean,44
Properties_Depth_5,40
RequestBodyContent,18
Format_google-datetime_Depth_2,12
ResponseHeader,0
Enum_Depth_5,0
SecuritySchemeExtension,0
RequestBody,18
ResponseExtension,0
Path_Put,1
Enum_Depth_1,712
MediaTypeExtension,0
Path_Delete,1
SchemaType_array,724
ResponsesExtension,0
SchemaType_object,871
RefSchema_Depth_2,135
Items_Depth_3,134
RefSchema_Depth_5,20
Path_Patch,1
ComponentExtension,0
ServerExtension,0
SchemaType_integer,459
Items_Depth_1,423
LinkComponent,0
path_Parameter,26
ParameterExtension,0
Schema_Depth_3,983
Enum_Depth_3,947
ReadOnlySchema_Depth_2,74
ResponseLink,0
PathExtension,0
Format_int32_Depth_4,102
SchemaType_string,2039
OAuthFlowsExtension,0
HeaderComponent,0
PathServer,0
MediaTypeEncoding,0
Format_int64_Depth_1,48
Schema_Depth_4,518
Items_Depth_4,40
Component,72
Path_Get,9
