OpenAPI feature,Count
Component,43
ExampleComponent,0
OAuthFlowExtension,0
path_Parameter,12
Schema_Depth_4,2
RequestBodyExtension,0
Format_google-datetime_Depth_1,13
Properties_Depth_4,0
GlobalExtension,0
SchemaExtension_Depth_1,0
Format_float_Depth_2,2
Format_int64_Depth_4,2
Server,1
MediaTypeExtension,0
OAuthFlowsExtension,0
SecuritySchemeExtension,0
Schema_Depth_2,145
Enum_Depth_2,108
ReadOnlySchema_Depth_2,8
LinkComponent,0
Items_Depth_2,6
SchemaType_string,383
ResponseCode_200,12
OAuthFlowAuthorizationUrl,2
ComponentExtension,0
Operation,12
Response,12
query_Parameter,117
HeaderComponent,0
RefSchema_Depth_2,29
AdditionalProperties_Depth_3,2
ResponsesExtension,0
Link,0
Items_Depth_1,51
OauthFlowTokenUrl,1
GlobalWebhook,0
RefSchema_Depth_1,67
MediaTypeEncoding,0
RequestBodyContent_application/json,6
RefSchema_Depth_3,2
Format_int64_Depth_3,3
RequestBodyComponent,0
CallbackComponent,0
Callback,0
SchemaType_integer,5
AdditionalProperties_Depth_2,7
ReadOnlySchema_Depth_1,19
SchemaType_object,146
Format_int64_Depth_1,4
OperationParameter,19
Path_Post,5
RequiredParameter,12
Encoding,0
SchemaType_array,57
ServerVariable,0
Path_Get,5
Example,0
Enum_Depth_4,0
Format_float_Depth_1,11
Format_google-datetime_Depth_2,6
TagExtension,0
Schema_Depth_1,494
PathServer,0
Format_byte_Depth_1,21
Properties_Depth_3,2
SchemaExtension_Depth_3,0
SchemaType_number,13
SecurityScheme_Type_oauth2,2
SchemaType_boolean,52
Properties_Depth_2,85
Path,9
ResponseLink,0
SchemaExtension_Depth_2,0
RequestBodyContent,6
ResponseHeader,0
Enum_Depth_3,0
Tag,1
OperationExtension,0
Enum_Depth_1,247
SchemaComponent,30
AdditionalProperties_Depth_1,9
Format_byte_Depth_2,8
SchemaExtension_Depth_4,0
Path_Delete,1
Path_Patch,1
ParameterExtension,0
Format_int32_Depth_1,2
RequestBody,6
GlobalExternalDoc,1
ExternalDocExtension,0
Format_int64_Depth_2,10
ServerExtension,0
ResponseContent_application/json,12
SecuritySchemeComponent,2
ParameterComponent,11
OperationTag,12
PathParameter,99
ResponseComponent,0
Properties_Depth_1,317
PathExtension,0
OAuthFlow,2
Responses,12
Header,0
ResponseContent,12
ResponseExtension,0
Schema_Depth_3,15
OAuthFlowScopes,2
