OpenAPI feature,Count
ServerVariable,0
TagExtension,0
Path,11
path_Parameter,14
ResponseContent_application/json,14
Path_Delete,1
ReadOnlySchema_Depth_2,50
Items_Depth_2,12
Format_google-duration_Depth_3,2
OperationExtension,0
Example,0
Enum_Depth_4,0
Items_Depth_1,34
ResponseLink,0
AdditionalProperties_Depth_3,2
AdditionalProperties_Depth_2,22
Link,0
PathParameter,121
Format_google-datetime_Depth_3,4
OAuthFlow,2
OAuthFlowScopes,2
Response,14
ResponseHeader,0
ResponseContent,14
SchemaType_boolean,36
Format_int32_Depth_1,30
PathExtension,0
ReadOnlySchema_Depth_3,10
ExampleComponent,0
SecuritySchemeComponent,2
OAuthFlowAuthorizationUrl,2
Server,1
Responses,14
SchemaType_array,46
RequestBody,7
RequestBodyContent,7
Enum_Depth_1,180
SchemaType_integer,67
SchemaExtension_Depth_2,0
Path_Post,7
Format_int32_Depth_3,8
Path_Get,5
SchemaExtension_Depth_1,0
RefSchema_Depth_1,50
Format_google-datetime_Depth_1,37
Properties_Depth_4,0
Properties_Depth_2,169
MediaTypeEncoding,0
RefSchema_Depth_2,29
Component,42
HeaderComponent,0
PathServer,0
SecurityScheme_Type_oauth2,2
LinkComponent,0
SchemaType_string,450
Encoding,0
ResponseCode_200,14
SchemaExtension_Depth_3,0
MediaTypeExtension,0
ResponseExtension,0
OauthFlowTokenUrl,1
ServerExtension,0
RequiredParameter,14
SchemaType_object,167
Callback,0
RequestBodyExtension,0
RequestBodyContent_application/json,7
Format_google-datetime_Depth_2,22
ExternalDocExtension,0
GlobalExtension,0
ResponsesExtension,0
RefSchema_Depth_3,8
SchemaComponent,29
Format_google-duration_Depth_1,1
CallbackComponent,0
GlobalExternalDoc,1
GlobalWebhook,0
OperationTag,14
ParameterExtension,0
Properties_Depth_3,28
Format_google-duration_Depth_2,4
Format_int32_Depth_2,26
SecuritySchemeExtension,0
ComponentExtension,0
Tag,1
Properties_Depth_1,303
Header,0
Enum_Depth_3,20
Enum_Depth_2,96
AdditionalProperties_Depth_1,27
query_Parameter,142
ResponseComponent,0
RequestBodyComponent,0
OAuthFlowsExtension,0
Operation,14
OperationParameter,24
Path_Patch,1
ReadOnlySchema_Depth_1,70
SchemaExtension_Depth_4,0
ParameterComponent,11
OAuthFlowExtension,0
