OpenAPI feature,Count
ServerVariable,0
RequestBodyContent_application/json,4
OAuthFlowsExtension,0
RequestBody,4
Format_int64_Depth_3,2
OperationExtension,0
OperationParameter,12
Schema_Depth_1,843
Schema_Depth_2,416
Items_Depth_2,34
MediaTypeExtension,0
ResponseLink,0
AdditionalProperties_Depth_1,19
Format_google-datetime_Depth_1,39
Path,4
Example,0
ResponsesExtension,0
Items_Depth_1,112
OAuthFlow,2
Format_byte_Depth_2,5
OAuthFlowAuthorizationUrl,2
SecuritySchemeExtension,0
OauthFlowTokenUrl,1
Responses,8
SchemaType_number,2
Format_google-datetime_Depth_3,2
Enum_Depth_4,0
Properties_Depth_2,285
Path_Delete,1
Properties_Depth_1,698
ResponseHeader,0
Format_uint32_Depth_1,7
SchemaExtension_Depth_4,0
ResponseCode_200,8
Path_Patch,1
OAuthFlowExtension,0
ServerExtension,0
RefSchema_Depth_2,93
Schema_Depth_3,94
ResponseExtension,0
Enum_Depth_2,140
ParameterComponent,11
RequestBodyExtension,0
PathServer,0
OAuthFlowScopes,2
GlobalExternalDoc,1
GlobalExtension,0
Operation,8
SchemaType_boolean,45
MediaTypeEncoding,0
Link,0
Format_google-fieldmask_Depth_1,3
Format_uint32_Depth_3,2
ResponseComponent,0
Properties_Depth_3,45
SchemaType_object,343
Response,8
SchemaType_array,148
ResponseContent_application/json,8
Format_byte_Depth_1,8
Format_google-datetime_Depth_2,13
RequestBodyComponent,0
HeaderComponent,0
SchemaType_string,761
SchemaExtension_Depth_1,0
Format_int32_Depth_1,13
Encoding,0
ParameterExtension,0
PathParameter,44
SecuritySchemeComponent,2
Format_double_Depth_1,1
RefSchema_Depth_1,128
SchemaType_integer,35
Component,79
Format_uint32_Depth_2,13
ResponseContent,8
Format_uint64_Depth_1,20
RefSchema_Depth_4,2
path_Parameter,8
SchemaExtension_Depth_2,0
OperationTag,8
RequiredParameter,8
PathExtension,0
CallbackComponent,0
ExternalDocExtension,0
Path_Get,3
Header,0
Callback,0
SecurityScheme_Type_oauth2,2
Schema_Depth_4,6
ExampleComponent,0
LinkComponent,0
Server,1
Tag,1
TagExtension,0
Path_Post,3
Format_google-duration_Depth_1,23
Properties_Depth_4,4
query_Parameter,59
Format_int64_Depth_2,27
SchemaComponent,66
Enum_Depth_1,445
Enum_Depth_3,0
SchemaExtension_Depth_3,0
RequestBodyContent,4
Format_float_Depth_1,1
GlobalWebhook,0
ComponentExtension,0
AdditionalProperties_Depth_2,15
Format_int64_Depth_1,55
RefSchema_Depth_3,20
Items_Depth_3,2
