OpenAPI feature,Count
Response,17
RefSchema_Depth_1,61
Format_int32_Depth_1,52
Path_Delete,1
Format_int32_Depth_2,8
ComponentExtension,0
Operation,17
OperationTag,17
Callback,0
PathParameter,154
Component,23
RequiredParameter,21
ResponsesExtension,0
ResponseContent_application/json,16
SchemaType_array,16
ExampleComponent,0
GlobalWebhook,0
ResponseContent,16
RequestBodyContent_application/json,7
SchemaExtension_Depth_3,0
Properties_Depth_2,68
RequestBodyExtension,0
Maximum_Depth_1,1
ResponseComponent,0
RequestBodyComponent,0
LinkComponent,0
OperationParameter,30
Properties_Depth_1,562
query_Parameter,175
HeaderComponent,0
OAuthFlow,2
TagExtension,0
ResponseLink,0
CallbackComponent,0
GlobalExternalDoc,1
ServerExtension,0
Responses,17
Format_int64_Depth_1,50
SchemaType_integer,61
SchemaComponent,10
SecuritySchemeExtension,0
ExternalDocExtension,0
SchemaType_boolean,47
MediaTypeEncoding,0
Minimum_Depth_1,1
SecurityScheme_Type_oauth2,2
OauthFlowTokenUrl,1
SchemaType_string,625
ResponseCode_200,17
PathServer,0
ServerVariable,0
Encoding,0
Path_Get,4
RefSchema_Depth_2,6
Format_int64_Depth_2,10
OAuthFlowAuthorizationUrl,2
Tag,3
OperationExtension,0
SchemaExtension_Depth_2,0
Link,0
SecuritySchemeComponent,2
Example,0
Header,0
MediaTypeExtension,0
RequestBodyContent,7
Items_Depth_2,2
Properties_Depth_3,0
OAuthFlowExtension,0
Server,1
Path_Post,10
Items_Depth_1,14
Enum_Depth_2,0
Path_Put,1
OAuthFlowScopes,4
GlobalExtension,0
Path,14
SchemaExtension_Depth_1,0
ResponseHeader,0
SchemaType_object,125
ResponseExtension,0
PathExtension,0
RequestBody,7
Enum_Depth_3,0
path_Parameter,20
Enum_Depth_1,102
ParameterExtension,0
Path_Patch,1
ParameterComponent,11
OAuthFlowsExtension,0
