OpenAPI feature,Count
ResponseHeader,0
Items_Depth_2,157
ParameterExtension,0
SchemaComponent,50
OAuthFlowsExtension,0
Properties_Depth_1,679
Properties_Depth_2,1130
RefSchema_Depth_3,245
Path_Get,8
Format_google-datetime_Depth_1,52
Format_int32_Depth_4,20
ResponseComponent,0
OAuthFlow,2
OperationTag,15
RequiredParameter,15
Header,0
ResponseExtension,0
RefSchema_Depth_2,248
Items_Depth_3,95
ExampleComponent,0
Path,11
SchemaType_array,342
Enum_Depth_3,442
SecurityScheme_Type_oauth2,2
Server,1
Link,0
Callback,0
OAuthFlowAuthorizationUrl,2
SchemaType_string,1667
RequestBodyContent_application/json,6
MediaTypeExtension,0
GlobalExtension,0
Enum_Depth_1,473
ResponsesExtension,0
PathServer,0
Format_google-datetime_Depth_3,10
AdditionalProperties_Depth_3,14
ServerVariable,0
ResponseContent_application/json,15
Properties_Depth_3,752
Format_int64_Depth_1,18
ExternalDocExtension,0
Operation,15
SchemaExtension_Depth_1,0
Format_int32_Depth_3,158
CallbackComponent,0
Response,15
Format_google-datetime_Depth_2,65
RefSchema_Depth_4,80
Component,63
SecuritySchemeComponent,2
SchemaType_object,825
SchemaExtension_Depth_3,0
Properties_Depth_4,170
Tag,1
Path_Patch,1
Format_google-duration_Depth_2,12
MediaTypeEncoding,0
ResponseCode_200,15
Format_int32_Depth_2,213
Example,0
Format_int64_Depth_2,20
Enum_Depth_4,0
RequestBodyExtension,0
ResponseContent,15
PathParameter,121
path_Parameter,15
Schema_Depth_1,924
OAuthFlowExtension,0
SecuritySchemeExtension,0
RequestBody,6
Schema_Depth_3,962
Format_google-fieldmask_Depth_1,2
OperationExtension,0
Items_Depth_1,90
ParameterComponent,11
SchemaExtension_Depth_2,0
Path_Delete,1
ComponentExtension,0
OauthFlowTokenUrl,1
Format_int32_Depth_1,85
AdditionalProperties_Depth_2,53
Schema_Depth_4,279
GlobalWebhook,0
Schema_Depth_2,1266
PathExtension,0
HeaderComponent,0
Path_Post,5
Format_byte_Depth_1,5
OAuthFlowScopes,2
SchemaType_integer,483
RefSchema_Depth_1,89
query_Parameter,159
Format_google-duration_Depth_1,14
RequestBodyComponent,0
TagExtension,0
RequestBodyContent,6
Responses,15
ReadOnlySchema_Depth_1,143
SchemaExtension_Depth_4,0
LinkComponent,0
ServerExtension,0
AdditionalProperties_Depth_1,46
Enum_Depth_2,693
ResponseLink,0
ReadOnlySchema_Depth_2,168
OperationParameter,42
Encoding,0
SchemaType_boolean,85
GlobalExternalDoc,1
