OpenAPI feature,Count
Format_int64_Depth_5,2
Enum_Depth_7,0
Items_Depth_4,17
Format_google-datetime_Depth_4,15
RequestBodyComponent,0
GlobalWebhook,0
RequestBodyExtension,0
ParameterExtension,0
Enum_Depth_2,171
SchemaExtension_Depth_5,0
Response,3
Callback,0
Format_int32_Depth_1,24
Path,3
SchemaType_integer,107
Schema_Depth_1,640
Properties_Depth_3,453
SchemaType_number,181
ResponseLink,0
Server,1
MediaTypeExtension,0
ResponseComponent,0
Encoding,0
Schema_Depth_2,464
SchemaExtension_Depth_4,0
Enum_Depth_5,0
Items_Depth_5,2
ExampleComponent,0
RequestBodyContent,3
Tag,1
ServerVariable,0
Format_google-datetime_Depth_3,29
CallbackComponent,0
RequestBody,3
Format_google-duration_Depth_1,4
OauthFlowTokenUrl,1
Component,67
Schema_Depth_4,169
Properties_Depth_6,0
Responses,3
ResponsesExtension,0
Header,0
ResponseExtension,0
Link,0
Format_double_Depth_3,101
Format_google-datetime_Depth_2,20
Format_double_Depth_1,22
Schema_Depth_3,516
SchemaType_boolean,84
Properties_Depth_5,6
Enum_Depth_1,155
SchemaType_object,444
Items_Depth_2,33
Properties_Depth_4,101
RefSchema_Depth_4,27
Format_double_Depth_5,4
ResponseHeader,0
PathParameter,33
SchemaType_string,786
ParameterComponent,11
Schema_Depth_5,28
AdditionalProperties_Depth_6,2
Properties_Depth_7,0
SchemaComponent,54
AdditionalProperties_Depth_2,30
SchemaExtension_Depth_1,0
Format_google-datetime_Depth_1,22
GlobalExtension,0
SchemaType_array,160
Items_Depth_3,38
OAuthFlowsExtension,0
OperationExtension,0
AdditionalProperties_Depth_3,30
MediaTypeEncoding,0
SecuritySchemeComponent,2
Format_google-duration_Depth_3,2
Path_Post,3
Items_Depth_1,70
SchemaExtension_Depth_3,0
Format_int32_Depth_3,46
TagExtension,0
Enum_Depth_6,0
Format_double_Depth_4,40
PathExtension,0
LinkComponent,0
path_Parameter,3
Properties_Depth_1,533
Format_int32_Depth_4,8
Format_int64_Depth_2,19
Format_google-duration_Depth_2,3
Format_int64_Depth_1,37
SecuritySchemeExtension,0
Operation,3
Enum_Depth_4,0
Schema_Depth_6,13
ResponseContent,3
Format_int32_Depth_2,29
OAuthFlowScopes,4
RefSchema_Depth_2,77
OperationParameter,3
Properties_Depth_2,341
Format_int64_Depth_4,19
Format_double_Depth_2,14
ServerExtension,0
ComponentExtension,0
ResponseCode_200,3
SchemaExtension_Depth_2,0
Schema_Depth_7,2
GlobalExternalDoc,1
RefSchema_Depth_1,60
PathServer,0
RefSchema_Depth_5,2
RequiredParameter,3
RefSchema_Depth_3,93
SchemaExtension_Depth_6,0
AdditionalProperties_Depth_4,5
AdditionalProperties_Depth_1,53
HeaderComponent,0
OAuthFlow,2
OperationTag,3
ExternalDocExtension,0
OAuthFlowAuthorizationUrl,2
Format_google-datetime_Depth_5,2
ResponseContent_application/json,3
Example,0
AdditionalProperties_Depth_5,11
RequestBodyContent_application/json,3
SchemaExtension_Depth_7,0
SecurityScheme_Type_oauth2,2
OAuthFlowExtension,0
Enum_Depth_3,30
query_Parameter,44
Format_int64_Depth_3,45
