OpenAPI feature,Count
Server,1
MediaTypeExtension,0
Header,0
ResponseContent_application/json,6
Callback,0
Enum_Depth_2,0
Enum_Depth_3,0
ExampleComponent,0
OperationExtension,0
OperationTag,7
SchemaType_object,28
SchemaType_boolean,4
Path_Get,2
Properties_Depth_3,0
ParameterComponent,7
OAuthFlowAuthorizationUrl,2
OAuthFlowExtension,0
Encoding,0
RequestBodyComponent,0
RequestBodyContent,4
ResponseCode_200,7
query_Parameter,29
ParameterExtension,0
ExternalDocExtension,0
Tag,1
Response,7
SchemaExtension_Depth_3,0
Path_Put,1
Path_Delete,1
SecurityScheme_Type_oauth2,2
RequestBody,4
Responses,7
ResponsesExtension,0
ResponseHeader,0
ResponseExtension,0
SecuritySchemeComponent,2
RequestBodyExtension,0
SchemaType_string,79
RefSchema_Depth_2,2
Properties_Depth_2,10
Path_Patch,1
ServerExtension,0
OperationParameter,5
PathServer,0
SchemaType_array,12
SchemaExtension_Depth_2,0
Items_Depth_2,2
ComponentExtension,0
GlobalExternalDoc,1
ResponseContent,6
LinkComponent,0
GlobalExtension,0
Operation,7
PathExtension,0
ResponseComponent,0
OAuthFlowsExtension,0
TagExtension,0
Link,0
path_Parameter,4
Component,13
OAuthFlowScopes,4
ServerVariable,0
RefSchema_Depth_1,10
PathParameter,21
RequiredParameter,5
SchemaComponent,4
GlobalWebhook,0
RequestBodyContent_application/json,4
SchemaExtension_Depth_1,0
Example,0
MediaTypeEncoding,0
OAuthFlow,2
Enum_Depth_1,4
ResponseLink,0
Items_Depth_1,10
OauthFlowTokenUrl,1
Path,3
Path_Post,2
Properties_Depth_1,54
HeaderComponent,0
SecuritySchemeExtension,0
CallbackComponent,0
