OpenAPI feature,Count
Format_google-duration_Depth_1,2
Format_int32_Depth_4,1
Tag,1
Header,0
Properties_Depth_2,27
Items_Depth_2,4
Format_float_Depth_1,2
RefSchema_Depth_3,2
Format_google-duration_Depth_2,2
HeaderComponent,0
OperationTag,2
Properties_Depth_3,8
ResponseLink,0
OAuthFlowExtension,0
LinkComponent,0
ExternalDocExtension,0
ReadOnlySchema_Depth_4,5
SecurityScheme_Type_oauth2,2
SchemaType_array,13
Enum_Depth_3,0
SchemaType_number,7
SchemaExtension_Depth_3,0
Format_float_Depth_3,2
SecuritySchemeComponent,2
ResponseHeader,0
SchemaType_integer,13
Format_int32_Depth_1,6
Link,0
Component,21
ParameterComponent,11
SecuritySchemeExtension,0
OperationExtension,0
Properties_Depth_1,39
ParameterExtension,0
Properties_Depth_4,5
ServerExtension,0
Path_Get,2
Callback,0
Format_float_Depth_4,1
ResponseComponent,0
ResponseContent,2
ResponseExtension,0
Items_Depth_3,1
Format_int32_Depth_2,4
Format_google-datetime_Depth_1,2
Format_google-duration_Depth_3,2
OauthFlowTokenUrl,1
path_Parameter,2
Encoding,0
ResponseCode_200,2
OAuthFlow,2
OAuthFlowScopes,2
SchemaExtension_Depth_2,0
PathServer,0
query_Parameter,36
Responses,2
SchemaExtension_Depth_4,0
ReadOnlySchema_Depth_2,11
Format_google-duration_Depth_4,2
RequestBodyComponent,0
TagExtension,0
Operation,2
OperationParameter,5
OAuthFlowsExtension,0
ResponsesExtension,0
SchemaType_object,35
AdditionalProperties_Depth_2,7
AdditionalProperties_Depth_3,2
RequiredParameter,2
Enum_Depth_1,15
Response,2
Enum_Depth_4,0
ReadOnlySchema_Depth_1,15
ReadOnlySchema_Depth_3,8
ExampleComponent,0
Path,2
Example,0
ResponseContent_application/json,2
Items_Depth_1,8
Enum_Depth_2,0
AdditionalProperties_Depth_1,4
RefSchema_Depth_2,7
RefSchema_Depth_4,1
GlobalExtension,0
ServerVariable,0
SchemaExtension_Depth_1,0
SchemaType_boolean,7
MediaTypeExtension,0
OAuthFlowAuthorizationUrl,2
CallbackComponent,0
ComponentExtension,0
GlobalExternalDoc,1
Server,1
SchemaType_string,65
PathExtension,0
SchemaComponent,8
Format_float_Depth_2,2
Format_int32_Depth_3,1
GlobalWebhook,0
RefSchema_Depth_1,4
MediaTypeEncoding,0
PathParameter,22
