OpenAPI feature,Count
RequestBodyContent_application/json,3
ResponseContent,7
AdditionalProperties_Depth_1,6
AdditionalProperties_Depth_3,2
OAuthFlowAuthorizationUrl,2
SchemaType_string,153
Example,0
Items_Depth_2,4
Format_google-datetime_Depth_1,2
RequestBodyComponent,0
OAuthFlow,2
path_Parameter,5
Header,0
AdditionalProperties_Depth_2,8
ResponseComponent,0
ExternalDocExtension,0
GlobalExtension,0
Responses,7
query_Parameter,81
LinkComponent,0
RefSchema_Depth_1,30
MediaTypeExtension,0
MediaTypeEncoding,0
ResponsesExtension,0
SchemaExtension_Depth_2,0
Format_double_Depth_1,17
SchemaComponent,16
OauthFlowTokenUrl,1
ServerVariable,0
RequestBody,3
SecuritySchemeExtension,0
Format_int32_Depth_1,10
Path_Get,3
Tag,4
RequestBodyExtension,0
Response,7
Callback,0
PathExtension,0
Properties_Depth_2,24
SchemaType_number,17
RefSchema_Depth_2,6
OperationExtension,0
OperationParameter,9
ResponseCode_200,7
SecuritySchemeComponent,2
Path,6
Properties_Depth_1,129
Enum_Depth_1,107
ResponseLink,0
SchemaExtension_Depth_3,0
Format_byte_Depth_1,2
OAuthFlowExtension,0
ComponentExtension,0
OperationTag,7
Encoding,0
RequiredParameter,5
SchemaType_integer,15
Enum_Depth_2,8
OAuthFlowScopes,2
OAuthFlowsExtension,0
ServerExtension,0
ResponseContent_application/json,7
ParameterExtension,0
Link,0
SchemaType_array,18
HeaderComponent,0
CallbackComponent,0
Path_Post,3
SchemaExtension_Depth_1,0
Format_int32_Depth_2,4
Enum_Depth_4,0
SchemaExtension_Depth_4,0
Path_Delete,1
RequestBodyContent,3
PathParameter,66
SchemaType_boolean,12
Properties_Depth_3,0
Properties_Depth_4,0
Component,29
ParameterComponent,11
SchemaType_object,68
ResponseExtension,0
SecurityScheme_Type_oauth2,2
TagExtension,0
Items_Depth_1,14
ResponseHeader,0
PathServer,0
Enum_Depth_3,0
ExampleComponent,0
GlobalExternalDoc,1
GlobalWebhook,0
Server,1
Operation,7
