OpenAPI feature,Count
ServerExtension,0
ResponseExtension,0
ResponseLink,0
Enum_Depth_4,0
Properties_Depth_4,0
Path,11
SchemaType_string,378
query_Parameter,150
Items_Depth_2,14
Enum_Depth_3,20
Format_int64_Depth_1,3
OAuthFlow,2
ExternalDocExtension,0
SecuritySchemeComponent,2
ServerVariable,0
SchemaExtension_Depth_1,0
Responses,14
AdditionalProperties_Depth_2,18
Format_google-datetime_Depth_1,6
RequestBodyComponent,0
RequestBody,6
ExampleComponent,0
GlobalExtension,0
Tag,1
SchemaExtension_Depth_3,0
Format_int64_Depth_2,2
ResponseComponent,0
GlobalExternalDoc,1
OperationExtension,0
Response,14
Path_Delete,1
OAuthFlowAuthorizationUrl,2
Operation,14
OperationParameter,32
Properties_Depth_2,136
CallbackComponent,0
OAuthFlowScopes,2
Server,1
RequiredParameter,14
Example,0
RefSchema_Depth_3,10
RequestBodyExtension,0
ReadOnlySchema_Depth_1,26
Path_Patch,1
Path_Get,6
path_Parameter,14
SchemaExtension_Depth_2,0
Path_Post,6
AdditionalProperties_Depth_1,18
PathParameter,121
GlobalWebhook,0
Header,0
SchemaType_object,158
Properties_Depth_3,26
AdditionalProperties_Depth_3,2
SecurityScheme_Type_oauth2,2
LinkComponent,0
Callback,0
ParameterComponent,11
Enum_Depth_1,145
ResponseCode_200,14
Items_Depth_1,44
RefSchema_Depth_2,38
ReadOnlySchema_Depth_2,19
Format_google-datetime_Depth_3,2
HeaderComponent,0
OAuthFlowExtension,0
OAuthFlowsExtension,0
SecuritySchemeExtension,0
TagExtension,0
ResponseHeader,0
Link,0
PathExtension,0
RequestBodyContent_application/json,6
ParameterExtension,0
SchemaType_integer,19
ResponsesExtension,0
ResponseContent,14
SchemaType_array,58
RequestBodyContent,6
Encoding,0
RefSchema_Depth_1,41
Format_int32_Depth_1,7
PathServer,0
SchemaExtension_Depth_4,0
ComponentExtension,0
OperationTag,14
ResponseContent_application/json,14
Enum_Depth_2,80
ReadOnlySchema_Depth_3,2
Format_int32_Depth_3,2
Format_int32_Depth_2,5
SchemaComponent,31
OauthFlowTokenUrl,1
Properties_Depth_1,215
Format_google-datetime_Depth_2,5
SchemaType_boolean,50
MediaTypeExtension,0
MediaTypeEncoding,0
Component,44
