OpenAPI feature,Count
Format_google-datetime_Depth_4,2
ReadOnlySchema_Depth_1,40
Path_Delete,1
OperationTag,17
ResponseExtension,0
AdditionalProperties_Depth_3,8
TagExtension,0
ParameterExtension,0
AdditionalProperties_Depth_2,31
Tag,1
SchemaType_string,649
OAuthFlow,2
Items_Depth_3,10
RequestBodyContent_application/json,8
ParameterComponent,11
SecuritySchemeExtension,0
GlobalExtension,0
RequiredParameter,17
Properties_Depth_3,124
Format_int64_Depth_1,4
Format_google-duration_Depth_2,6
Path_Patch,1
RefSchema_Depth_1,95
MediaTypeExtension,0
PathServer,0
OauthFlowTokenUrl,1
Operation,17
Enum_Depth_3,98
ServerExtension,0
Format_int32_Depth_1,14
ReadOnlySchema_Depth_3,23
ResponseCode_200,17
ResponseContent,17
Items_Depth_2,33
Response,17
RequestBodyComponent,0
Header,0
SecurityScheme_Type_oauth2,2
ComponentExtension,0
Link,0
SchemaExtension_Depth_4,0
Format_google-duration_Depth_1,9
GlobalWebhook,0
Example,0
Properties_Depth_2,308
MediaTypeEncoding,0
SchemaExtension_Depth_3,0
Component,62
OAuthFlowScopes,2
Path,13
Properties_Depth_4,20
Format_int32_Depth_4,2
path_Parameter,17
ResponsesExtension,0
Enum_Depth_4,20
Format_google-datetime_Depth_3,7
query_Parameter,178
Enum_Depth_2,178
SchemaComponent,49
HeaderComponent,0
Responses,17
AdditionalProperties_Depth_1,26
ExampleComponent,0
ServerVariable,0
LinkComponent,0
SchemaType_object,343
PathParameter,143
Format_int32_Depth_2,8
ResponseComponent,0
OperationParameter,41
OAuthFlowExtension,0
RefSchema_Depth_4,8
ResponseContent_application/json,17
Enum_Depth_1,203
Format_google-datetime_Depth_2,17
Format_int32_Depth_3,5
SchemaExtension_Depth_2,0
ExternalDocExtension,0
Encoding,0
PathExtension,0
Path_Post,8
CallbackComponent,0
RefSchema_Depth_2,92
RequestBodyContent,8
SecuritySchemeComponent,2
OperationExtension,0
ResponseLink,0
Callback,0
SchemaType_boolean,90
Format_int64_Depth_2,5
Path_Get,7
Properties_Depth_1,371
SchemaExtension_Depth_1,0
ReadOnlySchema_Depth_4,2
RequestBody,8
OAuthFlowsExtension,0
Server,1
Items_Depth_1,65
RefSchema_Depth_3,34
Format_int64_Depth_3,2
Format_google-datetime_Depth_1,21
OAuthFlowAuthorizationUrl,2
SchemaType_integer,35
SchemaType_array,108
GlobalExternalDoc,1
ReadOnlySchema_Depth_2,51
RequestBodyExtension,0
ResponseHeader,0
