OpenAPI feature,Count
OAuthFlow,2
Tag,3
Items_Depth_1,16
RequestBodyComponent,0
PathParameter,39
ServerExtension,0
ParameterExtension,0
ResponseHeader,0
SchemaExtension_Depth_2,0
MediaTypeEncoding,0
RequestBody,2
RequestBodyExtension,0
Format_float_Depth_2,1
Server,1
Operation,5
SchemaType_object,24
SchemaComponent,9
Path_Get,3
MediaTypeExtension,0
Properties_Depth_3,9
Component,24
GlobalExtension,0
Enum_Depth_2,0
ResponseExtension,0
ParameterComponent,13
OperationParameter,9
Response,5
ResponseContent_application/json,5
ParameterStyle_form,3
Format_float_Depth_3,3
ServerVariable,0
Encoding,0
PathExtension,0
OAuthFlowExtension,0
Schema_Depth_2,32
SchemaType_number,4
Path_Post,2
ResponseContent,5
RefSchema_Depth_1,7
RequestBodyContent,2
ExampleComponent,0
OAuthFlowsExtension,0
OperationTag,5
Enum_Depth_1,22
SchemaExtension_Depth_1,0
SecuritySchemeExtension,0
LinkComponent,0
GlobalExternalDoc,1
Properties_Depth_1,26
SchemaType_array,19
OAuthFlowAuthorizationUrl,2
SchemaExtension_Depth_3,0
SecurityScheme_Type_oauth2,2
OauthFlowTokenUrl,1
CallbackComponent,0
ResponseCode_200,5
RefSchema_Depth_2,8
Items_Depth_2,3
Schema_Depth_1,103
Link,0
SchemaType_boolean,12
ResponseLink,0
Callback,0
Enum_Depth_3,0
ExplodeParameter,3
Schema_Depth_3,12
SecuritySchemeComponent,2
OAuthFlowScopes,4
ExternalDocExtension,0
SchemaType_string,88
ResponsesExtension,0
Properties_Depth_2,16
GlobalWebhook,0
HeaderComponent,0
Responses,5
RequiredParameter,3
RequestBodyContent_application/json,2
query_Parameter,61
Example,0
Header,0
PathServer,0
ResponseComponent,0
TagExtension,0
Path,3
OperationExtension,0
ComponentExtension,0
