OpenAPI feature,Count
PathServer,0
HeaderComponent,0
RequestBodyExtension,0
ResponseExtension,0
LinkComponent,0
GlobalExtension,0
Enum_Depth_1,10
ResponsesExtension,0
RequestBody,1
RequestBodyContent_application/json,1
SchemaComponent,7
ParameterComponent,11
GlobalWebhook,0
MediaTypeExtension,0
PathExtension,0
Link,0
SchemaType_boolean,2
RequestBodyComponent,0
SecuritySchemeComponent,0
ResponseContent_application/json,1
Format_int32_Depth_1,28
SchemaExtension_Depth_2,0
Responses,1
ResponseContent,1
ResponseLink,0
GlobalExternalDoc,1
ServerVariable,0
ServerExtension,0
Operation,1
Properties_Depth_2,44
SchemaType_integer,52
MediaTypeEncoding,0
ResponseCode_200,1
ResponseComponent,0
Server,1
Path_Post,1
ExternalDocExtension,0
RefSchema_Depth_2,12
SchemaType_object,27
Properties_Depth_1,47
query_Parameter,22
CallbackComponent,0
ComponentExtension,0
RequestBodyContent,1
Callback,0
RefSchema_Depth_1,8
SchemaExtension_Depth_1,0
Enum_Depth_2,0
Format_int32_Depth_2,24
Example,0
Response,1
Tag,1
OperationParameter,0
ParameterExtension,0
Path,1
SchemaType_array,4
Header,0
ExampleComponent,0
OperationExtension,0
Schema_Depth_1,78
Schema_Depth_2,48
SchemaType_string,41
Component,18
Encoding,0
Items_Depth_1,4
ResponseHeader,0
PathParameter,11
TagExtension,0
OperationTag,1
