OpenAPI feature,Count
ResponseCode_200,1
Enum_Depth_3,9
Format_int32_Depth_4,17
Enum_Depth_2,47
Responses,1
ResponseExtension,0
PathParameter,11
Format_int32_Depth_2,51
GlobalExternalDoc,1
Tag,2
ParameterExtension,0
SchemaType_number,6
Component,31
Items_Depth_4,1
SchemaExtension_Depth_5,0
SecuritySchemeComponent,0
Path,1
OperationExtension,0
SchemaExtension_Depth_2,0
ResponseContent_application/json,1
RefSchema_Depth_3,15
Items_Depth_3,18
SchemaExtension_Depth_4,0
ExampleComponent,0
path_Parameter,1
Properties_Depth_1,118
Items_Depth_2,41
Format_int32_Depth_3,49
Enum_Depth_4,0
RefSchema_Depth_4,1
Format_int32_Depth_1,36
Format_float_Depth_1,6
ResponseComponent,0
CallbackComponent,0
ExternalDocExtension,0
Header,0
SchemaExtension_Depth_3,0
SchemaType_array,98
ResponsesExtension,0
ResponseContent,1
RefSchema_Depth_2,34
SchemaComponent,20
Properties_Depth_4,1
GlobalExtension,0
Enum_Depth_1,58
GlobalWebhook,0
Format_int32_Depth_5,1
HeaderComponent,0
ResponseHeader,0
PathExtension,0
ServerVariable,0
OperationTag,1
SchemaType_integer,157
Response,1
Link,0
ParameterComponent,11
LinkComponent,0
ComponentExtension,0
SchemaType_string,58
query_Parameter,39
ResponseLink,0
TagExtension,0
MediaTypeExtension,0
Format_byte_Depth_1,3
ExplodeParameter,1
SchemaType_boolean,18
Server,1
Properties_Depth_2,103
SchemaType_object,90
RefSchema_Depth_1,20
Enum_Depth_5,0
Operation,1
ParameterStyle_form,1
Properties_Depth_3,46
Path_Get,1
OperationParameter,18
Encoding,0
SchemaExtension_Depth_1,0
Callback,0
PathServer,0
RequestBodyComponent,0
ServerExtension,0
RequiredParameter,1
MediaTypeEncoding,0
Properties_Depth_5,0
Example,0
Items_Depth_1,38
