OpenAPI feature,Count
OperationTag,1
RequestBodyExtension,0
SchemaType_integer,61
Properties_Depth_3,1143
Response,1
SchemaType_string,1910
PathParameter,11
Format_int64_Depth_2,7
Format_int32_Depth_3,5
RefSchema_Depth_6,50
Format_int32_Depth_2,19
Properties_Depth_5,363
ParameterComponent,11
GlobalWebhook,0
Format_int32_Depth_4,5
ResponseComponent,0
OAuthFlowsExtension,0
Path,1
Format_byte_Depth_1,12
SchemaComponent,179
RefSchema_Depth_3,398
Format_float_Depth_5,174
AdditionalProperties_Depth_3,5
SecurityScheme_Type_oauth2,2
RequestBodyContent_application/json,1
Enum_Depth_1,107
SchemaType_boolean,44
Format_google-duration_Depth_5,30
ServerExtension,0
TagExtension,0
OperationParameter,0
ResponseExtension,0
Items_Depth_5,35
RequestBody,1
Properties_Depth_1,915
Enum_Depth_3,30
MediaTypeEncoding,0
Format_float_Depth_2,160
Enum_Depth_6,0
Format_int64_Depth_3,5
ExternalDocExtension,0
Path_Post,1
RequestBodyContent,1
SchemaType_object,1515
Format_float_Depth_6,70
LinkComponent,0
ResponseHeader,0
Items_Depth_4,82
Properties_Depth_2,1046
ResponsesExtension,0
Callback,0
ReadOnlySchema_Depth_5,10
Server,1
OperationExtension,0
Items_Depth_1,230
RefSchema_Depth_2,333
Format_google-duration_Depth_2,176
SecuritySchemeComponent,2
GlobalExternalDoc,1
GlobalExtension,0
ResponseContent_application/json,1
Properties_Depth_4,807
RefSchema_Depth_5,118
HeaderComponent,0
RefSchema_Depth_1,118
SchemaExtension_Depth_1,0
Format_int32_Depth_1,27
Format_float_Depth_3,259
OAuthFlowAuthorizationUrl,2
Format_google-duration_Depth_1,124
Format_byte_Depth_3,10
ReadOnlySchema_Depth_1,25
Header,0
AdditionalProperties_Depth_2,9
AdditionalProperties_Depth_1,4
Items_Depth_3,207
Format_google-duration_Depth_3,212
Tag,1
PathServer,0
PathExtension,0
Enum_Depth_2,145
SchemaExtension_Depth_2,0
Example,0
Properties_Depth_6,130
ComponentExtension,0
MediaTypeExtension,0
Format_google-datetime_Depth_2,10
SchemaExtension_Depth_5,0
ExampleComponent,0
ReadOnlySchema_Depth_2,25
Format_byte_Depth_2,10
Operation,1
Component,192
OAuthFlow,2
Format_float_Depth_1,135
Format_float_Depth_4,279
ReadOnlySchema_Depth_3,25
ReadOnlySchema_Depth_4,20
RequestBodyComponent,0
OauthFlowTokenUrl,1
Encoding,0
SchemaExtension_Depth_3,0
Responses,1
ResponseCode_200,1
ResponseContent,1
ServerVariable,0
ResponseLink,0
SchemaExtension_Depth_6,0
Format_int64_Depth_1,5
CallbackComponent,0
Link,0
ParameterExtension,0
Enum_Depth_5,0
Items_Depth_2,276
RefSchema_Depth_4,301
SecuritySchemeExtension,0
Enum_Depth_4,0
Format_google-datetime_Depth_1,10
Format_int32_Depth_5,5
OAuthFlowScopes,2
OAuthFlowExtension,0
SchemaType_array,830
SchemaType_number,1077
query_Parameter,22
SchemaExtension_Depth_4,0
Format_google-duration_Depth_4,176
