OpenAPI feature,Count
MediaTypeEncoding,0
AdditionalProperties_Depth_1,1
RequestBodyComponent,0
LinkComponent,0
TagExtension,0
SchemaType_string,47
ParameterExtension,0
PathServer,0
ResponseComponent,0
Example,0
Items_Depth_1,4
Properties_Depth_3,0
SchemaExtension_Depth_2,0
ComponentExtension,0
OperationParameter,1
Schema_Depth_1,38
SchemaExtension_Depth_1,0
Response,1
Header,0
ResponseContent_application/json,1
PathParameter,11
SchemaComponent,2
Operation,1
OperationTag,1
Properties_Depth_1,12
Items_Depth_2,4
SchemaType_boolean,2
Tag,1
Path,1
Responses,1
GlobalExternalDoc,1
SchemaType_object,8
ResponseExtension,0
PathExtension,0
ResponseCode_200,1
AdditionalProperties_Depth_2,2
Schema_Depth_2,21
HeaderComponent,0
ExternalDocExtension,0
GlobalExtension,0
ResponseContent,1
RefSchema_Depth_1,1
Link,0
ExampleComponent,0
SecuritySchemeComponent,0
OperationExtension,0
Enum_Depth_2,0
Component,13
ServerExtension,0
ResponsesExtension,0
Enum_Depth_3,0
ServerVariable,0
Enum_Depth_1,16
GlobalWebhook,0
ParameterComponent,11
ResponseHeader,0
RefSchema_Depth_2,2
Properties_Depth_2,16
query_Parameter,23
SchemaExtension_Depth_3,0
Schema_Depth_3,6
MediaTypeExtension,0
ResponseLink,0
Callback,0
CallbackComponent,0
Server,1
Path_Get,1
SchemaType_array,8
Encoding,0
