OpenAPI feature,Count
Enum_Depth_1,673
ResponseCode_200,11
ResponseContent,11
SchemaType_array,73
Format_int32_Depth_2,14
ResponseContent_application/json,11
RequestBodyContent_application/json,4
Schema_Depth_3,34
SecuritySchemeComponent,2
SecurityScheme_Type_oauth2,2
ComponentExtension,0
GlobalExternalDoc,1
OperationExtension,0
RequiredParameter,11
MediaTypeEncoding,0
Link,0
ServerVariable,0
ParameterExtension,0
Header,0
Format_int32_Depth_1,29
Format_int64_Depth_2,8
ParameterComponent,11
Encoding,0
ResponseExtension,0
SchemaExtension_Depth_3,0
Path_Delete,1
ExampleComponent,0
CallbackComponent,0
LinkComponent,0
RefSchema_Depth_1,86
PathServer,0
Items_Depth_2,22
Enum_Depth_3,34
Format_google-datetime_Depth_2,10
RequestBodyComponent,0
OAuthFlowsExtension,0
SchemaExtension_Depth_1,0
SchemaType_object,184
MediaTypeExtension,0
query_Parameter,109
Format_int64_Depth_1,16
ServerExtension,0
Schema_Depth_1,559
Response,11
SchemaType_integer,47
SchemaExtension_Depth_2,0
PathParameter,88
Format_google-datetime_Depth_1,22
RefSchema_Depth_3,8
Component,43
SecuritySchemeExtension,0
PathExtension,0
Path_Patch,1
OauthFlowTokenUrl,1
OAuthFlowExtension,0
Path,8
SchemaType_string,510
Responses,11
RequestBody,4
Properties_Depth_3,12
OAuthFlowAuthorizationUrl,2
OAuthFlowScopes,2
Server,1
TagExtension,0
path_Parameter,11
Callback,0
ResponseComponent,0
Properties_Depth_1,394
Enum_Depth_2,339
ResponseLink,0
SchemaType_boolean,42
OperationTag,11
Schema_Depth_2,263
RequestBodyExtension,0
RequestBodyContent,4
SchemaComponent,30
GlobalExtension,0
Operation,11
Items_Depth_1,51
Path_Post,3
HeaderComponent,0
OAuthFlow,2
GlobalWebhook,0
Path_Get,6
ResponsesExtension,0
RefSchema_Depth_2,60
Properties_Depth_2,212
Tag,1
OperationParameter,21
Example,0
ResponseHeader,0
ExternalDocExtension,0
