OpenAPI feature,Count
Encoding,0
RefSchema_Depth_1,41
MediaTypeExtension,0
PathParameter,33
ResponseComponent,0
HeaderComponent,0
Path_Get,3
OperationExtension,0
SchemaComponent,12
SchemaType_boolean,6
SchemaType_object,91
Enum_Depth_1,167
Responses,8
Items_Depth_1,27
ResponseExtension,0
Items_Depth_3,4
Path_Put,1
GlobalExtension,0
ServerVariable,0
RequestBodyContent_application/json,3
ResponseContent_application/json,8
Items_Depth_2,24
ComponentExtension,0
GlobalWebhook,0
ServerExtension,0
query_Parameter,68
Enum_Depth_3,12
Path_Delete,2
OAuthFlowExtension,0
Path,3
RefSchema_Depth_2,34
MediaTypeEncoding,0
Format_uint64_Depth_2,2
OperationTag,8
ResponseHeader,0
Header,0
ResponseContent,8
Enum_Depth_2,86
Callback,0
PathServer,0
RequestBody,3
Properties_Depth_1,173
ResponsesExtension,0
OAuthFlowAuthorizationUrl,2
CallbackComponent,0
RequestBodyContent,3
ExampleComponent,0
ParameterExtension,0
SchemaType_array,55
Link,0
Component,25
SecuritySchemeComponent,2
OauthFlowTokenUrl,1
Server,1
SchemaExtension_Depth_1,0
GlobalExternalDoc,1
SchemaType_integer,2
SecuritySchemeExtension,0
PathExtension,0
Properties_Depth_4,0
SchemaExtension_Depth_4,0
RequestBodyComponent,0
OAuthFlow,2
Response,8
ResponseLink,0
RequestBodyExtension,0
Operation,8
Properties_Depth_3,28
OAuthFlowScopes,10
Tag,3
Properties_Depth_2,180
Example,0
SchemaExtension_Depth_3,0
Path_Post,2
SecurityScheme_Type_oauth2,2
OAuthFlowsExtension,0
LinkComponent,0
TagExtension,0
SchemaType_string,371
SchemaExtension_Depth_2,0
RefSchema_Depth_3,4
Enum_Depth_4,0
Format_google-datetime_Depth_2,2
Format_uint64_Depth_1,6
Format_google-datetime_Depth_1,6
ParameterComponent,11
ExternalDocExtension,0
OperationParameter,24
ResponseCode_200,8
