OpenAPI feature,Count
Server,3
TagExtension,0
ResponseCode_200,16
Path_Get,16
ResponsesExtension,0
Component,1
Path,16
OperationParameter,160
RequiredParameter,31
Example,26
PathParameter,0
Operation,16
OperationExtension,0
Schema_Depth_1,160
SchemaExtension_Depth_1,0
ResponseLink,0
SchemaComponent,0
Encoding,0
Response,16
ResponseExtension,0
ResponseContent,0
ParameterExample,26
ParameterExtension,0
Responses,16
ParameterComponent,0
SecurityScheme_Type_apiKey,1
GlobalExternalDoc,1
GlobalWebhook,0
SchemaType_number,2
ResponseComponent,0
ExampleComponent,0
ComponentExtension,0
ExternalDocExtension,0
ServerExtension,0
OperationTag,16
SchemaType_boolean,23
Header,0
CallbackComponent,0
GlobalSecurity,1
query_Parameter,139
Callback,0
SecuritySchemeComponent,1
path_Parameter,21
Enum_Depth_1,358
SecuritySchemeExtension,0
Properties_Depth_1,0
SchemaType_integer,48
LinkComponent,0
SchemaType_string,87
ResponseHeader,0
Link,0
RequestBodyComponent,0
ServerVariable,0
PathServer,0
HeaderComponent,0
GlobalExtension,0
Tag,4
PathExtension,0
SecurityScheme_In_header,1
