OpenAPI feature,Count
SchemaExtension_Depth_2,0
AllOf_Depth_3,9
HeaderComponent,0
Items_Depth_1,71
Enum_Depth_2,0
PathExtension,0
path_Parameter,21
Format_int64_Depth_3,6
RefSchema_Depth_4,6
ReadOnlySchema_Depth_1,12
Format_byte_Depth_2,3
ResponseCode_200,27
MediaTypeEncoding,0
ResponseComponent,0
Format_uuid_Depth_1,4
ParameterComponent,0
Enum_Depth_1,0
Header,0
SchemaType_boolean,91
MediaTypeExtension,0
Link,0
Server,1
AllOf_Depth_2,72
ResponseContent_application/json,27
Tag,0
OperationParameter,56
query_Parameter,35
RequiredParameter,48
SchemaType_array,123
SchemaType_object,359
SchemaType_integer,46
SchemaExtension_Depth_3,0
Path,27
Operation,27
Enum_Depth_4,0
ReadOnlySchema_Depth_3,6
ResponsesExtension,0
ResponseHeader,0
ResponseContent_text/json,27
Properties_Depth_2,671
PathParameter,0
Items_Depth_2,46
Encoding,0
ParameterExtension,0
ExplodeParameter,1
Format_uuid_Depth_2,3
Enum_Depth_3,0
Format_int32_Depth_3,6
RefSchema_Depth_1,157
AllOf_Depth_1,104
SchemaType_string,1534
Callback,0
GlobalWebhook,0
ResponseContent_text/plain,27
Items_Depth_3,6
Response,27
Format_int32_Depth_1,25
Example,0
Responses,27
RefSchema_Depth_2,136
Format_date-time_Depth_2,48
Format_int64_Depth_1,1
ExampleComponent,0
GlobalExtension,0
Properties_Depth_1,901
Path_Get,27
OperationTag,27
SchemaExtension_Depth_1,0
ResponseExtension,0
Format_int64_Depth_2,4
Properties_Depth_4,12
ServerVariable,0
ServerExtension,0
ComponentExtension,0
Format_date-time_Depth_3,9
RequestBodyComponent,0
OperationExtension,0
ResponseContent,81
Format_int32_Depth_2,4
Component,23
PathServer,0
Format_date-time_Depth_1,64
RefSchema_Depth_3,37
Properties_Depth_3,101
ReadOnlySchema_Depth_2,17
Format_byte_Depth_1,8
SchemaComponent,23
SecuritySchemeComponent,0
LinkComponent,0
CallbackComponent,0
ResponseLink,0
SchemaExtension_Depth_4,0
