OpenAPI feature,Count
Header,0
Link,0
PathParameter,0
ComponentExtension,0
SchemaType_string,172
ParameterExample,52
TagExtension,0
SchemaType_integer,28
RequestBodyComponent,0
SecuritySchemeComponent,1
GlobalExtension,0
ExampleComponent,0
CallbackComponent,0
ExternalDocExtension,0
query_Parameter,220
ParameterExtension,0
ResponseContent,0
HeaderComponent,0
ServerExtension,0
OperationExtension,0
Encoding,0
ResponseHeader,0
SecuritySchemeExtension,0
PathServer,0
GlobalWebhook,0
path_Parameter,24
Format_date-time_Depth_1,24
ResponseExtension,0
SecurityScheme_Type_apiKey,1
Properties_Depth_1,0
Example,52
Responses,24
ParameterComponent,0
LinkComponent,0
OperationTag,24
Enum_Depth_1,356
ResponseComponent,0
SchemaComponent,0
ServerVariable,0
Path,12
OperationParameter,244
SchemaType_boolean,44
PathExtension,0
Callback,0
Component,1
GlobalSecurity,1
Path_Get,12
RequiredParameter,52
SchemaExtension_Depth_1,0
ResponsesExtension,0
ResponseLink,0
SecurityScheme_In_header,1
Server,3
Tag,3
Operation,24
Response,24
ResponseCode_200,24
Path_Post,12
GlobalExternalDoc,1
