OpenAPI feature,Count
Maximum_Depth_3,50
Properties_Depth_2,240
ResponseCode_500,1
Not_Depth_2,16
Response,13
Link,0
ResponseCode_404,1
Component,88
GlobalWebhook,0
Path_Post,1
Operation,3
MinItems_Depth_2,10
Format_uuid_Depth_1,35
Callback,0
RequestBodyContent_application/json,1
ResponseCode_414,1
RequestBodyComponent,0
SecuritySchemeExtension,0
MinItems_Depth_1,22
RequiredSchema_Depth_2,78
Schema_Depth_3,62
MinLength_Depth_1,18
HeaderContent,0
HeaderMultipleExamples,0
ParameterStyle_form,6
RefSchema_Depth_2,196
ResponseCode_200,3
Header,36
SchemaType_number,50
SchemaExample_Depth_3,58
ResponseCode_413,1
ResponseCode_401,1
Encoding,0
RequestBodyExtension,0
SchemaExample_Depth_1,301
ExampleComponent,0
BearerFormat,1
SchemaType_integer,284
RequestBodyContent,1
PathParameter,0
ParameterComponent,7
SecurityScheme_Type_apiKey,1
ServerVariable,0
Maximum_Depth_2,152
ResponseCode_403,1
PathServer,0
RequestBody,1
SecurityScheme_Scheme_bearer,1
SchemaType_array,54
Minimum_Depth_3,50
ResponseContent,23
CallbackComponent,0
OperationExtension,0
Minimum_Depth_1,142
Responses,3
SecuritySchemeComponent,2
query_Parameter,8
SchemaExtension_Depth_2,0
RefSchema_Depth_3,60
Not_Depth_3,2
Pattern_Depth_2,2
Format_regex_Depth_1,1
ResponseCode_405,1
TagExtension,0
ResponsesExtension,0
GlobalExtension,0
Enum_Depth_1,2
MediaTypeExample,19
ResponseCode_400,1
ComponentExtension,0
Tag,2
SchemaType_string,232
Enum_Depth_2,10
RefSchema_Depth_1,123
MediaTypeExtension,0
Not_Depth_1,11
SchemaComponent,67
RequiredSchema_Depth_1,170
MaxLength_Depth_1,18
HeaderComponent,2
HeaderExtension,0
Path_Get,2
OperationTag,3
SchemaExtension_Depth_1,5
header_Parameter,5
SchemaType_object,112
MaxItems_Depth_2,10
MediaTypeEncoding,0
ParameterExtension,0
Items_Depth_1,44
MaxItems_Depth_1,22
PathExtension,0
Example,622
Enum_Depth_3,0
ResponseCode_503,1
ResponseCode_415,1
Format_regex_Depth_2,2
SecurityScheme_Type_http,1
SchemaExample_Depth_2,244
ResponseExtension,0
ResponseComponent,10
SecurityScheme_In_query,1
OperationParameter,6
RequiredRequestBody,1
HeaderStyle_,72
Maximum_Depth_1,136
LinkComponent,0
ServerExtension,0
Minimum_Depth_2,152
Items_Depth_2,10
SchemaExtension_Depth_3,0
ResponseLink,0
Pattern_Depth_1,1
GlobalSecurity,2
Server,2
Path,3
Properties_Depth_1,274
Schema_Depth_2,300
Format_version_Depth_1,3
ResponseContent_application/json,23
Schema_Depth_1,425
RequiredSchema_Depth_3,24
Properties_Depth_3,50
ResponseHeader,34
