OpenAPI feature,Count
Properties_Depth_3,0
SchemaExtension_Depth_3,0
PathServer,0
ResponseComponent,1
ResponsesExtension,0
ResponseCode_200,2
RefSchema_Depth_1,10
SchemaExample_Depth_1,17
path_Parameter,1
SchemaType_object,35
Link,0
Component,12
GlobalExtension,1
ServerExtension,0
Path_Get,2
Operation,2
RequestBodyComponent,0
SchemaExtension_Depth_2,0
AdditionalProperties_Depth_2,4
OAuthFlowScopes,4
Example,23
RequiredSchema_Depth_1,37
Format_date-time_Depth_1,10
MediaTypeEncoding,0
ResponseExtension,0
ParameterStyle_form,10
OAuthFlowExtension,0
AdditionalProperties_Depth_1,9
SchemaType_array,16
Items_Depth_3,4
ComponentExtension,0
Tag,1
ResponseHeader,0
query_Parameter,10
ExampleComponent,0
OAuthFlowAuthorizationUrl,2
OAuthFlowsExtension,0
SecurityScheme_In_header,2
OperationTag,2
Callback,0
Format_date-time_Depth_2,4
OAuthFlow,2
Items_Depth_2,5
Format_uuid_Depth_1,4
SecurityScheme_Type_oauth2,2
GlobalWebhook,0
Server,1
ParameterStyle_simple,1
ParameterExtension,0
Enum_Depth_2,0
SecurityScheme_In_query,1
LinkComponent,0
Encoding,0
Enum_Depth_1,0
RefSchema_Depth_2,6
ParameterComponent,0
RequiredSchema_Depth_2,20
Enum_Depth_4,0
PathParameter,0
SchemaType_integer,3
OperationExtension,0
RequiredParameter,1
SchemaExtension_Depth_1,0
ResponseContent_*/*,3
Format_int32_Depth_1,3
SchemaComponent,6
SecuritySchemeComponent,5
DefaultResponse,2
Items_Depth_1,7
HeaderComponent,0
Responses,2
ResponseContent,5
MediaTypeExample,2
MediaTypeExtension,0
Response,4
Enum_Depth_3,0
Properties_Depth_4,0
ExplodeParameter,10
CallbackComponent,0
ServerVariable,0
TagExtension,0
Header,0
ResponseContent_application/json,2
SchemaExtension_Depth_4,0
SchemaExample_Depth_2,4
SecurityScheme_Type_apiKey,3
Path,2
SchemaType_boolean,57
ResponseLink,0
Properties_Depth_2,60
SecuritySchemeExtension,0
OauthFlowTokenUrl,2
OperationParameter,11
SchemaType_string,90
Properties_Depth_1,90
PathExtension,0
