OpenAPI feature,Count
Tag,1
RequiredRequestBody,1
ResponseExtension,0
DefaultResponse,1
Enum_Depth_4,0
ServerExtension,0
Path,1
SchemaExtension_Depth_3,0
RequiredSchema_Depth_2,3
HeaderComponent,0
SecurityScheme_In_query,1
OAuthFlowExtension,0
LinkComponent,0
Path_Post,1
OperationParameter,0
SchemaType_object,21
Enum_Depth_1,0
SchemaComponent,4
OAuthFlowScopes,1
RequestBodyExtension,0
Example,20
ResponseContent_application/json,1
AdditionalProperties_Depth_1,7
Properties_Depth_3,0
SecuritySchemeComponent,3
SecuritySchemeExtension,0
ServerVariable,0
RequestBodyContent_application/json,1
RequiredSchema_Depth_1,14
ParameterComponent,0
PathParameter,0
OAuthFlow,1
RequestBody,1
RefSchema_Depth_1,4
Responses,1
Items_Depth_3,3
SchemaExtension_Depth_4,0
Callback,0
PathExtension,0
SchemaExample_Depth_1,17
Header,0
Items_Depth_2,4
Component,8
OAuthFlowAuthorizationUrl,1
ComponentExtension,0
GlobalExtension,1
Encoding,0
ResponseContent_*/*,2
SchemaExtension_Depth_2,0
Properties_Depth_4,0
SecurityScheme_In_header,1
ResponseHeader,0
Items_Depth_1,3
CallbackComponent,0
SchemaType_string,46
SchemaExtension_Depth_1,0
Response,2
Link,0
RequestBodyComponent,0
OperationExtension,0
OperationTag,1
ResponsesExtension,0
ResponseContent,3
Enum_Depth_2,0
Format_uuid_Depth_1,3
ResponseComponent,1
OAuthFlowsExtension,0
ResponseLink,0
SecurityScheme_Type_oauth2,1
MediaTypeExtension,0
SchemaType_array,10
Enum_Depth_3,0
AdditionalProperties_Depth_2,3
PathServer,0
OauthFlowTokenUrl,1
TagExtension,0
MediaTypeEncoding,0
Properties_Depth_2,15
ExampleComponent,0
GlobalWebhook,0
Server,1
Operation,1
RequestBodyContent,1
Properties_Depth_1,34
ResponseCode_200,1
RefSchema_Depth_2,3
SchemaExample_Depth_2,3
SecurityScheme_Type_apiKey,2
