OpenAPI feature,Count
Callback,0
SecuritySchemeComponent,3
OAuthFlowAuthorizationUrl,1
OAuthFlowExtension,0
ServerVariable,0
Tag,1
Path_Get,1
SchemaType_array,13
Items_Depth_2,4
ResponseComponent,1
ComponentExtension,0
Format_date-time_Depth_1,3
Example,16
Format_int32_Depth_1,1
Responses,1
OAuthFlow,1
SchemaExtension_Depth_4,0
ParameterComponent,0
Items_Depth_1,6
Enum_Depth_2,0
ResponseContent,3
ResponseExtension,0
RefSchema_Depth_1,8
SchemaExample_Depth_2,3
PathServer,0
CallbackComponent,0
AdditionalProperties_Depth_2,5
OAuthFlowsExtension,0
Server,1
SchemaType_string,71
RefSchema_Depth_2,5
Format_date-time_Depth_2,2
LinkComponent,0
ParameterExtension,0
Link,0
ResponseContent_*/*,2
HeaderComponent,0
PathParameter,0
Component,10
SecuritySchemeExtension,0
OperationExtension,0
OperationTag,1
SchemaExtension_Depth_3,0
Properties_Depth_4,0
SchemaExample_Depth_1,13
Items_Depth_3,3
ExplodeParameter,9
Encoding,0
SchemaType_integer,2
SchemaType_object,32
SchemaExtension_Depth_2,0
Enum_Depth_4,0
PathExtension,0
SchemaComponent,6
GlobalExtension,1
OperationParameter,9
Enum_Depth_1,0
Properties_Depth_2,27
SecurityScheme_Type_oauth2,1
query_Parameter,9
ParameterStyle_form,9
ResponseHeader,0
RequiredSchema_Depth_2,15
SecurityScheme_In_query,1
ServerExtension,0
Format_int64_Depth_1,1
Header,0
Format_uuid_Depth_1,3
DefaultResponse,1
ExampleComponent,0
TagExtension,0
Path,1
ResponsesExtension,0
ResponseContent_application/json,1
OauthFlowTokenUrl,1
OAuthFlowScopes,1
Operation,1
SchemaExtension_Depth_1,0
Enum_Depth_3,0
ResponseLink,0
AdditionalProperties_Depth_1,8
RequestBodyComponent,0
Properties_Depth_1,47
RequiredSchema_Depth_1,22
MediaTypeExtension,0
MediaTypeEncoding,0
SecurityScheme_In_header,1
GlobalWebhook,0
Response,2
ResponseCode_200,1
Properties_Depth_3,0
SecurityScheme_Type_apiKey,2
