OpenAPI feature,Count
Properties_Depth_3,86
Path_Put,1
ParameterExtension,0
RequiredSchema_Depth_1,188
PathExtension,0
Items_Depth_3,29
SecurityScheme_Type_apiKey,3
Format_int32_Depth_2,25
AdditionalProperties_Depth_1,48
ResponseContent_application/json,12
SchemaExtension_Depth_5,0
SchemaExtension_Depth_3,0
RequiredParameter,24
HeaderComponent,0
OauthFlowTokenUrl,1
LinkComponent,0
Properties_Depth_1,399
Component,31
SchemaExample_Depth_2,19
ComponentExtension,0
Server,1
RequestBodyContent,11
Header,0
Enum_Depth_3,316
Tag,4
Enum_Depth_2,1478
CallbackComponent,0
ResponseLink,0
Format_int32_Depth_3,4
SchemaExtension_Depth_4,0
Operation,16
MediaTypeEncoding,0
Link,0
ExampleComponent,0
Format_int32_Depth_1,24
Path_Delete,1
OperationExtension,0
RefSchema_Depth_1,41
Path_Get,3
Format_int64_Depth_1,5
SecurityScheme_Type_oauth2,1
RequiredSchema_Depth_2,266
ResponseContent,29
ParameterStyle_form,10
SchemaExample_Depth_3,6
Encoding,0
Items_Depth_1,58
OAuthFlowAuthorizationUrl,1
OperationTag,16
path_Parameter,16
SchemaComponent,26
SchemaType_object,241
SchemaExtension_Depth_2,0
Properties_Depth_2,436
Response,29
RequestBodyComponent,0
SchemaType_array,137
SchemaExtension_Depth_1,0
Properties_Depth_4,0
ParameterStyle_simple,16
Path_Post,10
SecuritySchemeComponent,4
Enum_Depth_5,0
ResponseContent_*/*,17
SchemaType_boolean,56
RefSchema_Depth_2,63
Enum_Depth_4,0
SecuritySchemeExtension,0
GlobalExtension,1
RequestBody,11
PathServer,0
GlobalWebhook,0
MediaTypeExtension,0
Callback,0
Properties_Depth_5,0
OperationParameter,26
AdditionalProperties_Depth_2,40
PathParameter,0
OAuthFlowExtension,0
ResponseHeader,0
Format_uuid_Depth_1,18
ResponsesExtension,0
Format_date-time_Depth_1,60
RefSchema_Depth_3,10
Path_Patch,1
Enum_Depth_1,227
SchemaType_string,673
ResponseExtension,0
Format_int64_Depth_2,49
Format_int64_Depth_3,26
RequiredRequestBody,11
SchemaExample_Depth_1,73
SecurityScheme_In_query,2
RequestBodyExtension,0
ExplodeParameter,10
OAuthFlowsExtension,0
ServerExtension,0
OAuthFlow,1
RequiredSchema_Depth_3,50
ResponseComponent,1
Responses,16
ResponseCode_200,12
Items_Depth_2,44
Format_date-time_Depth_2,12
ResponseCode_204,1
ParameterComponent,0
OAuthFlowScopes,2
SecurityScheme_In_header,1
ServerVariable,0
Path,12
SchemaType_integer,137
Example,98
DefaultResponse,16
query_Parameter,10
Format_int64_Depth_4,4
AdditionalProperties_Depth_3,6
TagExtension,0
RequestBodyContent_application/json,11
Items_Depth_4,6
