OpenAPI feature,Count
ResponseCode_200,16
ResponseContent_application/json,16
Enum_Depth_2,133
MediaTypeEncoding,0
GlobalSecurity,1
SchemaExtension_Depth_1,0
ParameterComponent,0
SchemaComponent,4
Link,0
RequestBodyContent_application/json,9
Enum_Depth_3,0
SchemaType_string,135
path_Parameter,7
SchemaType_array,14
HeaderComponent,0
ComponentExtension,0
Response,101
Path_Get,9
OperationExtension,0
ResponseContent,16
RequestBodyContent,9
RefSchema_Depth_2,17
Component,5
Server,1
ResponseCode_401,16
ResponseCode_202,11
ResponseCode_400,15
PathServer,0
PathExtension,0
RequestBody,9
RequestBodyExtension,0
Tag,0
ExampleComponent,0
CallbackComponent,0
GlobalWebhook,0
Callback,0
RequiredParameter,8
Enum_Depth_1,85
RequiredRequestBody,8
Path_Put,1
Path_Delete,1
Properties_Depth_3,3
SecurityScheme_Type_apiKey,1
GlobalExtension,0
OperationParameter,3
SchemaType_object,33
MediaTypeExtension,0
Path_Post,5
SecuritySchemeComponent,1
SecurityScheme_In_header,1
OperationTag,16
Properties_Depth_1,199
Path,13
Operation,16
ParameterExtension,0
ResponseCode_204,11
Items_Depth_1,13
ServerExtension,0
Responses,16
ResponsesExtension,0
ResponseCode_408,16
RefSchema_Depth_1,9
Example,0
ResponseHeader,0
Properties_Depth_2,126
ResponseCode_403,16
PathParameter,5
RequestBodyComponent,0
ServerVariable,0
SchemaExtension_Depth_2,0
SchemaType_boolean,4
SchemaExtension_Depth_3,0
ResponseComponent,0
LinkComponent,0
SchemaType_number,193
Header,0
ResponseExtension,0
ResponseLink,0
query_Parameter,1
Items_Depth_2,1
SecuritySchemeExtension,0
Encoding,0
