OpenAPI feature,Count
GlobalExtension,0
Example,0
Header,0
ResponseCode_403,1
MediaTypeExtension,0
ServerVariable,0
OperationTag,1
SchemaType_string,5
Properties_Depth_1,3
Server,1
ServerExtension,0
Operation,1
Responses,1
ResponseHeader,0
ResponseCode_405,1
SchemaType_object,1
ParameterExtension,0
PathParameter,0
GlobalExternalDoc,1
Path,1
OperationExtension,0
RequiredParameter,2
ResponseExtension,0
ResponseCode_200,1
ResponseContent_application/json,1
MediaTypeEncoding,0
Callback,0
Tag,0
Enum_Depth_1,0
SchemaExtension_Depth_1,0
ResponseCode_500,1
ResponseContent,1
ResponseCode_402,1
ResponseCode_400,1
PathServer,0
ExternalDocExtension,0
GlobalWebhook,0
Path_Get,1
query_Parameter,2
Response,6
ResponseLink,0
Link,0
OperationParameter,2
Encoding,0
ResponsesExtension,0
PathExtension,0
