OpenAPI feature,Count
Responses,1
Path_Get,1
query_Parameter,2
Encoding,0
Properties_Depth_1,4
ResponseContent,1
ResponseCode_400,1
Schema_Depth_1,7
SchemaExtension_Depth_1,0
Example,0
ResponseCode_405,1
RequiredParameter,2
Link,0
GlobalExternalDoc,1
ResponseCode_200,1
ResponseCode_403,1
ExternalDocExtension,0
Server,1
ParameterExtension,0
Header,0
ResponseCode_500,1
Callback,0
Path,1
Operation,1
SchemaType_string,6
ResponseCode_402,1
PathServer,0
PathExtension,0
GlobalExtension,0
ServerVariable,0
OperationParameter,2
ResponsesExtension,0
ResponseContent_application/json,1
SchemaType_object,1
MediaTypeEncoding,0
GlobalWebhook,0
ServerExtension,0
Response,6
ResponseExtension,0
ResponseLink,0
ResponseHeader,0
MediaTypeExtension,0
PathParameter,0
Tag,0
OperationExtension,0
OperationTag,1
Enum_Depth_1,0
