OpenAPI feature,Count
ResponseCode_404,1
ResponseCode_500,1
MediaTypeEncoding,0
PathExtension,0
Operation,1
Properties_Depth_1,15
ParameterExtension,0
query_Parameter,2
ResponseCode_402,1
OperationTag,1
Encoding,0
Example,0
Response,7
ResponseLink,0
Path,1
Path_Get,1
OperationExtension,0
Link,0
ExternalDocExtension,0
MediaTypeExtension,0
GlobalWebhook,0
Responses,1
ResponseHeader,0
Header,0
SchemaType_string,17
Enum_Depth_1,0
ResponseContent_application/json,1
GlobalExternalDoc,1
GlobalExtension,0
ServerVariable,0
OperationParameter,2
SchemaType_object,1
RequiredParameter,2
ResponsesExtension,0
ResponseCode_405,1
Callback,0
ServerExtension,0
Tag,0
ResponseContent,1
ResponseCode_200,1
ResponseCode_400,1
ResponseCode_403,1
PathServer,0
PathParameter,0
Server,1
SchemaExtension_Depth_1,0
ResponseExtension,0
