OpenAPI feature,Count
RefSchema_Depth_1,391
Enum_Depth_2,0
RequiredRequestBody,26
Format_int64_Depth_3,6
Format_float_Depth_3,2
ResponseCode_201,8
RequiredSchema_Depth_1,8
Header,0
Path_Patch,6
RequestBodyContent_application/json,27
Example,395
ResponseCode_204,9
PathServer,0
SchemaType_number,53
Format_int32_Depth_1,13
Path_Put,10
ResponseComponent,8
SecurityScheme_In_header,1
Responses,84
PathParameter,0
Properties_Depth_3,92
query_Parameter,12
ParameterComponent,13
ResponseHeader,0
ResponseLink,0
SchemaExtension_Depth_4,0
Properties_Depth_4,18
Format_email_Depth_3,1
Format_email_Depth_2,3
Path_Get,48
MediaTypeExtension,0
ResponseCode_403,83
Format_int64_Depth_2,6
MinLength_Depth_3,4
AllOf_Depth_2,2
Properties_Depth_2,629
ResponseCode_401,83
Enum_Depth_4,0
Format_date-time_Depth_2,56
Format_int32_Depth_2,9
RequestBodyComponent,0
Format_date-time_Depth_3,10
Format_int64_Depth_1,2
SecuritySchemeExtension,0
RefSchema_Depth_4,3
OneOf_Depth_1,1
Format_float_Depth_1,1
CallbackComponent,0
SchemaType_string,2005
Format_date-time_Depth_1,95
PathExtension,0
ExampleComponent,35
LinkComponent,0
RefSchema_Depth_2,105
Items_Depth_3,4
Format_float_Depth_2,2
Format_date-time_Depth_4,3
Component,127
SecuritySchemeComponent,1
Response,371
Path,74
MinLength_Depth_1,140
SchemaExtension_Depth_3,0
Encoding,0
RequestBody,27
RequestBodyExtension,0
SchemaType_boolean,213
ResponseCode_207,1
ComponentExtension,0
ResponseCode_400,45
ExampleExtension,0
Callback,0
MediaTypeExample,245
ResponseCode_200,67
AllOf_Depth_1,6
GlobalSecurity,1
GlobalWebhook,0
RequiredParameter,118
Format_email_Depth_1,30
AdditionalProperties_Depth_1,1
ResponsesExtension,0
Pattern_Depth_1,4
ResponseCode_404,75
RequiredSchema_Depth_2,4
path_Parameter,118
ResponseContent,369
SchemaExtension_Depth_2,0
SchemaType_object,908
MinLength_Depth_2,78
AllowReservedParameter,3
OneOf_Depth_2,1
GlobalExtension,0
OperationParameter,117
ParameterExtension,0
Operation,84
OperationTag,84
ResponseContent_application/json,369
Path_Post,13
SchemaComponent,70
Properties_Depth_1,1909
RefSchema_Depth_3,22
Enum_Depth_3,0
Link,0
Items_Depth_1,113
HeaderComponent,0
SecurityScheme_Type_apiKey,1
Server,1
ServerExtension,0
SchemaExtension_Depth_1,0
OperationExtension,0
SchemaType_array,155
RequestBodyContent,27
Enum_Depth_1,50
ResponseExtension,0
Items_Depth_2,38
SchemaType_integer,40
Path_Delete,7
ServerVariable,0
Tag,0
MediaTypeEncoding,0
