OpenAPI feature,Count
SchemaExtension_Depth_3,0
RequiredParameter,14
Format_uri_Depth_1,9
SchemaComponent,11
HeaderComponent,0
Enum_Depth_1,0
RequestBodyExtension,32
MediaTypeEncoding,0
Path_Patch,3
RequestBodyComponent,0
Properties_Depth_4,11
Format_uri_Depth_2,6
Format_binary_Depth_1,1
RequestBody,16
SchemaType_object,49
Format_date-time_Depth_3,15
query_Parameter,5
RequiredSchema_Depth_4,4
MinLength_Depth_3,25
Format_date-time_Depth_4,3
ResponseComponent,0
Operation,24
Encoding,0
RefSchema_Depth_1,25
Schema_Depth_3,59
Path_Post,14
ParameterExtension,13
SchemaExtension_Depth_2,0
RequiredRequestBody,16
NullableSchema_Depth_2,32
Format_guid_Depth_3,4
Schema_Depth_2,75
MaxLength_Depth_1,21
ResponseContent_application/octet-stream,1
Schema_Depth_1,236
Format_uri_Depth_4,1
Enum_Depth_3,0
OperationParameter,17
RequestBodyContent,16
ResponseContent_application/json,11
Items_Depth_2,5
MaxLength_Depth_3,10
Format_guid_Depth_4,1
header_Parameter,4
SecuritySchemeComponent,0
ServerVariable,0
OneOf_Depth_1,25
MaxLength_Depth_2,13
OperationExtension,0
NullableSchema_Depth_1,100
Items_Depth_1,7
Properties_Depth_2,68
Format_date-time_Depth_1,23
RequiredSchema_Depth_1,28
LinkComponent,0
OperationTag,24
RequestBodyContent_application/json,16
Response,24
PathServer,0
ResponseCode_204,12
ServerExtension,0
Format_guid_Depth_1,57
MediaTypeExtension,0
SchemaType_array,13
Enum_Depth_4,0
PathParameter,0
MinLength_Depth_1,44
Server,1
Tag,0
ResponseCode_200,10
CallbackComponent,0
RefSchema_Depth_2,7
Format_date-time_Depth_2,20
Callback,0
Path_Put,1
GlobalWebhook,0
Format_guid_Depth_2,3
RequiredSchema_Depth_2,24
Path_Delete,2
SchemaExtension_Depth_1,0
ResponseLink,0
MaxLength_Depth_4,2
ComponentExtension,0
MinLength_Depth_2,31
NullableSchema_Depth_3,21
MinLength_Depth_4,5
Path_Get,4
SchemaType_string,225
RequiredSchema_Depth_3,20
path_Parameter,8
Items_Depth_3,1
ExampleComponent,0
ResponseContent,12
RefSchema_Depth_3,5
SchemaType_boolean,35
SchemaExtension_Depth_4,0
Properties_Depth_3,54
Format_uri_Depth_3,5
Schema_Depth_4,12
Example,0
Responses,24
Format_int32_Depth_1,6
Header,0
NullableSchema_Depth_4,4
Properties_Depth_1,155
Component,11
ResponsesExtension,0
RefSchema_Depth_4,1
Format_time-span_Depth_1,2
GlobalExtension,1
SchemaType_integer,6
ResponseHeader,0
ResponseExtension,0
ParameterComponent,0
Enum_Depth_2,0
PathExtension,0
ResponseCode_201,2
Path,18
Link,0
