OpenAPI feature,Count
RequestBodyContent,1
SchemaType_number,5
ResponseCode_400,1
SchemaComponent,22
Items_Depth_1,46
SchemaExample_Depth_2,50
ResponseComponent,0
CallbackComponent,0
ComponentExtension,0
Server,1
ResponseCode_401,9
ResponsesExtension,0
ResponseContent,26
MediaTypeEncoding,0
SchemaExtension_Depth_2,0
Callback,0
Header,0
GlobalWebhook,0
RequestBodyContent_application/json,1
MediaTypeExtension,0
RequiredParameter,3
ExampleExtension,0
SchemaExample_Depth_1,113
SchemaExtension_Depth_1,0
Responses,9
RefSchema_Depth_1,44
SchemaType_boolean,4
Encoding,0
Properties_Depth_1,133
ResponseContent_application/json,26
SchemaType_string,159
Response,26
PathExtension,0
ExampleComponent,6
GlobalExtension,0
Example,175
ParameterExtension,0
ResponseHeader,0
ResponseExtension,0
Path_Post,1
RequestBody,1
Component,29
Tag,0
SecurityScheme_Scheme_basic,1
ParameterComponent,0
Link,0
ResponseCode_404,3
SecuritySchemeComponent,1
SecuritySchemeExtension,0
ServerExtension,0
OperationTag,9
SchemaType_array,46
PathServer,0
RefSchema_Depth_2,3
Path_Put,1
HeaderComponent,0
LinkComponent,0
Path_Get,7
Operation,9
OperationParameter,5
query_Parameter,2
Schema_Depth_1,187
path_Parameter,3
RequestBodyExtension,0
ServerVariable,0
OperationExtension,0
ResponseCode_200,9
Schema_Depth_2,108
Properties_Depth_2,62
PathParameter,0
ParameterStyle_simple,3
ResponseCode_403,4
Path,9
RequiredRequestBody,1
ResponseLink,0
SchemaType_object,53
Enum_Depth_2,0
RequestBodyComponent,0
SecurityScheme_Type_http,1
Enum_Depth_1,0
