OpenAPI feature,Count
ResponseCode_200,20
Path_Post,4
Items_Depth_2,16
SchemaComponent,28
SecurityScheme_In_header,1
OperationTag,24
path_Parameter,26
SchemaType_string,565
MediaTypeExtension,0
RefSchema_Depth_1,59
Format_double_Depth_2,15
Format_int32_Depth_3,3
ReadOnlySchema_Depth_1,1
SecuritySchemeExtension,0
ComponentExtension,0
Path,22
Format_date-time_Depth_2,22
Path_Put,1
ResponseComponent,0
OperationParameter,73
ResponseContent_text/xml,13
SchemaType_integer,40
Format_double_Depth_1,29
SecurityScheme_Type_apiKey,1
Enum_Depth_1,5
Link,0
SchemaType_array,79
RefSchema_Depth_2,60
Enum_Depth_2,25
Format_int32_Depth_2,13
ReadOnlySchema_Depth_2,3
Example,0
Tag,0
Encoding,0
Response,24
ResponseContent_text/json,20
SchemaExtension_Depth_3,0
ResponseHeader,0
Header,0
PathExtension,0
Properties_Depth_2,327
ExampleComponent,0
SecuritySchemeComponent,2
GlobalWebhook,0
Server,1
ResponsesExtension,0
ResponseExtension,0
Format_date-time_Depth_1,23
query_Parameter,47
PathServer,0
ParameterComponent,0
RequestBodyComponent,0
ServerExtension,0
Operation,24
RequiredParameter,70
SchemaExtension_Depth_1,0
Callback,0
CallbackComponent,0
Path_Get,18
Responses,24
SchemaType_object,163
Format_int32_Depth_1,24
ResponseContent_application/json,20
ResponseLink,0
RefSchema_Depth_3,16
Format_date-time_Depth_3,3
Component,30
ResponseContent,66
ResponseContent_application/xml,13
Path_Delete,1
LinkComponent,0
ResponseCode_204,4
PathParameter,0
SchemaType_boolean,11
SecurityScheme_Type_http,1
SecurityScheme_Scheme_basic,1
GlobalExtension,0
ServerVariable,0
OperationExtension,0
Properties_Depth_1,285
ParameterExtension,0
MediaTypeEncoding,0
Items_Depth_1,63
SchemaExtension_Depth_2,0
SchemaType_number,44
Enum_Depth_3,0
Properties_Depth_3,44
HeaderComponent,0
