OpenAPI feature,Count
Enum_Depth_1,0
RequestBody,3
RequestBodyContent,3
OneOf_Depth_1,2
ParameterComponent,0
ResponseContent,15
Properties_Depth_1,32
MediaTypeEncoding,0
Minimum_Depth_2,2
HeaderComponent,0
ComponentExtension,0
Link,0
ResponseCode_500,2
ResponseCode_429,4
Path_Get,2
ResponseHeader,0
PathExtension,0
SchemaExtension_Depth_2,0
GlobalWebhook,0
Operation,5
ResponsesExtension,0
RequestBodyContent_application/x-www-form-urlencoded,3
SchemaType_array,7
SecuritySchemeComponent,0
Encoding,0
ResponseCode_403,2
Component,7
ResponseComponent,0
ServerVariable,0
Tag,0
ResponseContent_*/*,15
ExampleComponent,0
RequestBodyComponent,1
CallbackComponent,0
Properties_Depth_2,10
SchemaExample_Depth_2,4
SchemaComponent,6
Path,4
Response,15
MediaTypeExtension,0
SchemaType_number,2
OperationExtension,0
OperationTag,5
Responses,5
ResponseCode_200,5
SchemaType_integer,4
SchemaExample_Depth_1,3
Enum_Depth_2,0
SchemaExtension_Depth_1,0
Path_Post,3
Items_Depth_1,7
RefSchema_Depth_1,15
Example,10
Callback,0
Maximum_Depth_2,2
Format_float_Depth_2,2
Server,1
PathParameter,0
ResponseCode_400,2
SchemaType_object,27
ResponseLink,0
ServerExtension,0
OperationParameter,0
MediaTypeExample,3
GlobalExtension,0
Header,0
SchemaType_string,33
ResponseExtension,0
PathServer,0
RequestBodyExtension,0
LinkComponent,0
