OpenAPI feature,Count
SchemaExtension_Depth_2,0
OauthFlowTokenUrl,1
SecuritySchemeExtension,0
Tag,0
OperationExtension,30
Responses,15
PathExtension,0
Enum_Depth_2,0
SchemaType_number,14
GlobalWebhook,0
ServerExtension,0
Path,15
Encoding,0
SchemaExtension_Depth_1,0
OAuthFlowAuthorizationUrl,1
header_Parameter,15
ResponseLink,0
PathParameter,0
SchemaType_integer,5
OAuthFlow,1
Response,15
ResponseComponent,0
RequestBodyComponent,0
SecuritySchemeComponent,1
ResponseExtension,0
PathServer,0
Format_int32_Depth_1,5
OAuthFlowExtension,0
GlobalExtension,0
ServerVariable,0
Operation,15
MediaTypeEncoding,0
Items_Depth_1,7
SchemaComponent,6
HeaderComponent,0
SecurityScheme_Type_oauth2,1
Path_Get,15
OperationTag,15
ResponseHeader,0
SchemaType_object,51
path_Parameter,31
RefSchema_Depth_1,10
Component,7
Callback,0
ParameterComponent,0
ParameterExtension,0
Header,0
ResponseContent,15
ResponseContent_application/json,15
Enum_Depth_1,17
SchemaType_boolean,2
RefSchema_Depth_2,7
ComponentExtension,0
LinkComponent,0
CallbackComponent,0
OperationParameter,75
Example,0
ResponseCode_200,15
Format_float_Depth_1,14
OAuthFlowScopes,1
SchemaType_string,112
query_Parameter,29
ResponsesExtension,0
Link,0
SchemaType_array,7
MediaTypeExtension,0
OAuthFlowsExtension,0
ExampleComponent,0
Server,1
RequiredParameter,46
Properties_Depth_1,74
Properties_Depth_2,14
