OpenAPI feature,Count
query_Parameter,426
ParameterComponent,0
HeaderComponent,0
ServerExtension,0
ResponseLink,0
RequiredSchema_Depth_2,198
SchemaType_number,70
CallbackComponent,0
OperationExtension,0
Path_Get,264
Path_Delete,35
PathExtension,0
Format_float_Depth_1,69
GlobalSecurity,1
RequiredSchema_Depth_1,157
ResponsesExtension,0
PathServer,0
Items_Depth_2,35
SecuritySchemeComponent,1
SecurityScheme_Type_apiKey,1
Properties_Depth_3,47
MediaTypeExample,182
Enum_Depth_2,219
ResponseCode_204,36
SecurityScheme_In_header,1
GlobalExtension,1
SchemaExtension_Depth_1,0
HeaderExtension,0
ResponseContent_application/json,445
Callback,0
Items_Depth_1,207
HeaderMultipleExamples,0
Format_byte_Depth_1,2
Tag,190
ResponseCode_200,409
Header,31
ResponseComponent,0
Component,5
SchemaExample_Depth_1,182
Path_Put,119
Properties_Depth_2,363
ResponseHeader,31
ExampleExtension,0
Items_Depth_3,3
OperationTag,483
OperationParameter,1096
ParameterExtension,0
ResponseExtension,0
Link,0
SchemaExtension_Depth_4,0
RequiredSchema_Depth_3,14
SchemaComponent,0
Properties_Depth_1,1273
MediaTypeEncoding,0
ResponseContent,445
Responses,483
SchemaExtension_Depth_3,0
Operation,483
RequestBodyContent_application/json,182
SchemaType_object,953
Format_float_Depth_2,1
Format_date-time_Depth_1,3
ComponentExtension,0
Path_Post,65
Enum_Depth_3,78
ParameterStyle_form,29
RequiredRequestBody,72
ResponseCode_201,35
Enum_Depth_4,0
HeaderStyle_,62
path_Parameter,670
RequiredParameter,673
RequestBody,182
Response,483
PathParameter,0
SchemaExtension_Depth_2,0
ResponseCode_202,3
RequestBodyComponent,4
SchemaType_string,1912
RequestBodyContent,182
MediaTypeExtension,0
LinkComponent,0
RequestBodyExtension,0
SchemaType_array,245
ExampleComponent,0
SecuritySchemeExtension,0
GlobalWebhook,0
Server,1
Path,300
Encoding,0
Example,809
SchemaType_boolean,241
SchemaType_integer,261
Properties_Depth_4,0
HeaderContent,0
ServerVariable,0
TagExtension,0
Enum_Depth_1,781
