OpenAPI feature,Count
LinkComponent,0
Header,2
HeaderComponent,0
Enum_Depth_2,6
Enum_Depth_5,0
RequiredSchema_Depth_3,6
SchemaType_object,32
ResponseExtension,0
PathParameter,0
HeaderContent,0
Items_Depth_4,2
Schema_Depth_5,2
GlobalExtension,1
RequestBodyContent_application/json,3
Schema_Depth_1,77
SchemaComponent,9
RequestBodyContent_application/octet-stream,1
PathServer,0
RequiredSchema_Depth_1,19
SchemaExtension_Depth_1,14
ResponseContent,6
ResponsesExtension,0
Enum_Depth_4,4
GlobalWebhook,0
Operation,4
ResponseCode_202,2
Component,16
RequestBodyComponent,2
SecuritySchemeComponent,1
Path_Get,2
MediaTypeExtension,0
Properties_Depth_3,15
Items_Depth_2,9
CallbackComponent,0
OperationParameter,3
RequestBody,4
RefSchema_Depth_4,4
Link,0
PathExtension,0
ExampleExtension,0
Properties_Depth_2,24
RefSchema_Depth_3,10
Path,4
RefSchema_Depth_1,17
Schema_Depth_2,33
NullableSchema_Depth_2,3
GlobalSecurity,1
ServerVariable,1
Path_Post,2
ResponseContent_application/json,6
path_Parameter,3
SchemaExtension_Depth_2,3
SchemaType_integer,5
Enum_Depth_3,6
Schema_Depth_4,13
ExampleComponent,2
ComponentExtension,0
ServerExtension,0
OperationExtension,0
Items_Depth_1,9
Schema_Depth_3,24
Encoding,0
Callback,0
SchemaExtension_Depth_5,0
DefaultResponse,4
NullableSchema_Depth_3,3
HeaderExtension,0
ResponseLink,0
RequestBodyExtension,7
ParameterExtension,6
Properties_Depth_4,6
Format_file_Depth_1,1
HeaderStyle_,4
Items_Depth_3,7
SchemaExtension_Depth_4,2
ParameterComponent,2
SecurityScheme_Type_apiKey,1
Server,2
Enum_Depth_1,127
MediaTypeEncoding,0
SchemaExtension_Depth_3,3
HeaderMultipleExamples,0
query_Parameter,2
NullableSchema_Depth_1,4
Responses,4
SchemaType_array,27
NullableSchema_Depth_4,2
RequiredRequestBody,4
SecurityScheme_In_header,1
Tag,0
Example,8
RequiredSchema_Depth_4,4
RefSchema_Depth_2,10
Properties_Depth_5,0
SecuritySchemeExtension,0
RequestBodyContent,4
RequiredParameter,5
ResponseCode_200,2
RequiredSchema_Depth_2,4
SchemaType_number,29
Response,8
ResponseHeader,2
Properties_Depth_1,51
SchemaType_string,51
ResponseComponent,0
