OpenAPI feature,Count
RefSchema_Depth_2,153
Link,0
ReadOnlySchema_Depth_3,171
Server,2
Path_Get,17
RequiredRequestBody,13
SchemaExtension_Depth_1,195
SchemaExtension_Depth_3,0
Format_int32_Depth_2,56
OperationParameter,144
ResponseCode_200,35
Format_date-time_Depth_1,102
Enum_Depth_2,362
ResponseContent_text/xml,68
PathServer,0
RequestBodyComponent,1
ComponentExtension,0
query_Parameter,47
Format_uuid_Depth_3,112
Format_date-time_Depth_3,50
ResponseContent,214
Example,2109
RequiredSchema_Depth_1,364
Format_float_Depth_3,195
Enum_Depth_1,12890
SchemaType_boolean,72
Component,77
SchemaComponent,39
ResponseComponent,0
PathParameter,0
MaxItems_Depth_1,9
Path_Patch,3
Format_byte_Depth_1,1
GlobalWebhook,0
Path,30
Operation,43
MediaTypeExtension,0
MinItems_Depth_1,9
Format_int32_Depth_1,59
ExampleExtension,0
ResponseContent_application/xml,68
RequestBody,13
RequestBodyContent_application/xml,10
CallbackComponent,0
Response,86
SchemaExtension_Depth_2,37
SchemaType_number,439
ParameterComponent,2
HeaderComponent,0
RequiredParameter,109
NullableSchema_Depth_1,167
RequestBodyContent_application/json,10
ResponseHeader,0
Format_date-time_Depth_2,54
PathExtension,0
LinkComponent,0
GlobalExtension,0
Encoding,0
header_Parameter,44
Header,0
MediaTypeEncoding,0
RefSchema_Depth_3,79
OperationExtension,0
Responses,43
Enum_Depth_3,30
ResponseLink,0
ParameterStyle_form,12
Tag,0
NullableSchema_Depth_2,90
Callback,0
OperationTag,43
Properties_Depth_2,808
RequestBodyContent_text/xml,10
RequestBodyContent_multipart/form-data,3
Format_binary_Depth_1,3
SchemaType_object,510
ResponseExtension,0
RequestBodyContent_application/x-www-form-urlencoded,10
Format_float_Depth_2,185
Format_float_Depth_1,59
ResponseContent_application/json,70
Minimum_Depth_1,3
Format_byte_Depth_2,5
ResponseCode_204,8
DefaultResponse,43
RequiredSchema_Depth_3,228
Format_uuid_Depth_2,202
RequestBodyExtension,0
ExampleComponent,35
ServerVariable,1
Properties_Depth_1,1063
Format_uuid_Depth_1,209
ResponsesExtension,0
SchemaType_array,278
NullableSchema_Depth_3,7
path_Parameter,55
RequiredSchema_Depth_2,198
ReadOnlySchema_Depth_2,498
ReadOnlySchema_Depth_1,491
RequestBodyContent,43
ServerExtension,0
ParameterExtension,144
Items_Depth_2,93
SecuritySchemeComponent,0
Properties_Depth_3,406
Path_Post,15
Maximum_Depth_1,3
SchemaType_string,1583
Items_Depth_1,185
SchemaType_integer,115
RefSchema_Depth_1,236
Path_Delete,8
ResponseContent_*/*,8
