OpenAPI feature,Count
Schema_Depth_1,1564
ResponseContent,150
Callback,0
Server,2
ServerExtension,0
ParameterExtension,0
ResponseCode_401,21
Enum_Depth_3,20
Properties_Depth_3,344
SchemaType_number,118
Format_double_Depth_4,42
SchemaExample_Depth_1,9
RefSchema_Depth_2,413
Path_Post,2
Path_Delete,2
ResponseCode_204,3
Format_int32_Depth_1,44
Schema_Depth_3,382
SchemaType_boolean,6
ParameterComponent,0
LinkComponent,0
Path_Get,16
ResponseCode_201,2
RequestBodyContent_application/json,3
OAuthFlowsExtension,0
Pattern_Depth_1,36
ResponseComponent,0
Path,18
Enum_Depth_1,225
ResponseExtension,0
RequiredSchema_Depth_1,548
MaxLength_Depth_1,369
MaxLength_Depth_3,49
CallbackComponent,0
SchemaComponent,70
HeaderComponent,0
NullableSchema_Depth_1,606
NullableSchema_Depth_2,350
ResponseCode_403,21
Format_date-time_Depth_2,71
NullableSchema_Depth_3,208
Format_int32_Depth_4,28
OperationExtension,21
OperationTag,21
SchemaType_object,730
Schema_Depth_2,1080
Enum_Depth_2,3403
SchemaExtension_Depth_2,0
Items_Depth_2,38
Items_Depth_3,49
SecuritySchemeComponent,3
SecurityScheme_Type_apiKey,1
Encoding,0
Pattern_Depth_3,15
Properties_Depth_4,287
OAuthFlowExtension,0
ResponseCode_200,16
SchemaExample_Depth_3,6
NullableSchema_Depth_4,196
SchemaExtension_Depth_4,0
MinLength_Depth_4,21
Format_double_Depth_1,16
ServerVariable,0
PathParameter,0
Format_int32_Depth_3,11
ResponseCode_406,21
ResponseCode_400,21
SecuritySchemeExtension,0
Properties_Depth_2,913
PathServer,0
Tag,0
Format_date-time_Depth_1,68
ResponsesExtension,0
MinLength_Depth_1,369
SchemaType_integer,88
MaxLength_Depth_4,21
path_Parameter,19
ResponseContent_application/json,73
MediaTypeEncoding,0
SchemaExample_Depth_2,31
Enum_Depth_4,0
Format_date-time_Depth_3,23
Format_double_Depth_2,12
OAuthFlow,2
GlobalExtension,0
SchemaType_string,2166
Properties_Depth_1,1230
SchemaType_array,254
ResponseCode_500,21
Schema_Depth_4,336
Response,171
ResponseHeader,0
Items_Depth_1,167
RequestBodyContent,6
ResponseContent_application/pdf,4
Format_date-time_Depth_4,63
RequestBodyComponent,0
SecurityScheme_Type_oauth2,2
query_Parameter,4
RequiredSchema_Depth_2,477
SecurityScheme_In_header,1
ResponseCode_404,21
RefSchema_Depth_3,74
ResponseCode_415,3
OAuthFlowScopes,4
RequiredParameter,36
Responses,21
MediaTypeExtension,0
Format_double_Depth_3,48
Path_Put,1
Component,73
ResponseContent_application/json; charset=utf-8,73
Pattern_Depth_2,85
Format_binary_Depth_1,1
RequiredSchema_Depth_4,7
header_Parameter,85
Header,0
OauthFlowTokenUrl,2
OAuthFlowAuthorizationUrl,1
OperationParameter,108
MaxLength_Depth_2,386
RequestBodyContent_application/json; charset=utf-8,3
RefSchema_Depth_4,49
Format_int32_Depth_2,5
ComponentExtension,0
SchemaExtension_Depth_1,0
ResponseLink,0
RequestBody,3
GlobalWebhook,0
Operation,21
Link,0
ResponseCode_405,21
PathExtension,0
RequiredSchema_Depth_3,74
ExampleComponent,0
Example,46
RefSchema_Depth_1,336
MinLength_Depth_2,386
SchemaExtension_Depth_3,0
MinLength_Depth_3,49
RequestBodyExtension,0
