OpenAPI feature,Count
TagExtension,0
OperationParameter,11
Header,0
Example,0
MediaTypeEncoding,0
ParameterExtension,0
Server,1
path_Parameter,2
RequiredParameter,2
SecuritySchemeComponent,0
SchemaExtension_Depth_1,0
ResponseCode_401,7
ResponseContent,7
Properties_Depth_1,317
SchemaType_integer,41
Path_Get,7
SchemaExtension_Depth_2,0
HeaderComponent,0
Format_int64_Depth_1,25
SchemaType_string,251
PathParameter,0
Component,15
SchemaComponent,15
RequestBodyComponent,0
CallbackComponent,0
ResponseCode_403,7
Enum_Depth_1,105
ResponseComponent,0
Tag,4
ResponseCode_404,7
ParameterComponent,0
GlobalWebhook,0
ResponsesExtension,0
ResponseHeader,0
ResponseLink,0
Schema_Depth_1,350
RefSchema_Depth_1,42
query_Parameter,9
ExampleComponent,0
OperationTag,7
ResponseContent_application/json,7
Schema_Depth_2,77
RefSchema_Depth_2,11
SchemaType_number,41
Response,28
SchemaType_object,72
Callback,0
Link,0
OperationExtension,0
SchemaType_array,5
LinkComponent,0
GlobalExtension,0
Responses,7
PathServer,0
Format_double_Depth_2,2
ComponentExtension,0
ServerVariable,0
Path,7
Operation,7
ResponseExtension,0
SchemaType_boolean,13
ServerExtension,0
Format_int64_Depth_2,3
MediaTypeExtension,0
Format_int32_Depth_1,13
Properties_Depth_2,72
Format_double_Depth_1,39
ResponseCode_200,7
PathExtension,0
Items_Depth_1,5
Enum_Depth_2,0
Encoding,0
