OpenAPI feature,Count
ResponseContent,25
OperationTag,9
ResponsesExtension,0
Header,0
Callback,0
ResponseCode_409,2
GlobalWebhook,0
GlobalExtension,0
OperationParameter,13
ResponseLink,0
PathServer,0
ResponseCode_204,2
SchemaComponent,7
SecurityScheme_Scheme_basic,1
LinkComponent,0
TagExtension,0
RequiredSchema_Depth_1,47
BearerFormat,1
SchemaExtension_Depth_2,0
SchemaType_object,48
SchemaType_array,21
RequiredSchema_Depth_2,10
PathExtension,0
ResponseCode_400,2
ResponseCode_404,5
Component,9
ResponseHeader,0
Example,155
ParameterExtension,0
SchemaType_integer,4
MediaTypeExtension,0
RequiredRequestBody,3
RequestBodyContent_application/json,3
ResponseComponent,0
Path_Get,4
SecurityScheme_Scheme_bearer,1
ComponentExtension,0
ParameterComponent,0
SchemaExtension_Depth_1,0
RequestBodyComponent,0
SecuritySchemeComponent,2
Path,7
Enum_Depth_3,0
PathParameter,0
ExampleComponent,0
CallbackComponent,0
Properties_Depth_2,20
SchemaType_string,160
Properties_Depth_1,140
Path_Post,2
RequestBody,3
RequiredParameter,10
AllOf_Depth_1,1
Server,1
query_Parameter,3
Encoding,0
SchemaExample_Depth_2,20
Tag,5
MinItems_Depth_1,1
Path_Delete,2
ServerVariable,0
Responses,9
AllOf_Depth_2,1
SecurityScheme_Type_http,2
Operation,9
RefSchema_Depth_2,4
Path_Patch,1
HeaderComponent,0
SecuritySchemeExtension,0
ResponseCode_401,9
ResponseContent_application/json,25
Items_Depth_2,3
Properties_Depth_3,0
SchemaExtension_Depth_3,0
SchemaExample_Depth_1,133
OperationExtension,0
ParameterExample,2
Response,32
RefSchema_Depth_1,20
MediaTypeEncoding,0
ResponseExtension,0
ResponseCode_200,6
ServerExtension,0
Enum_Depth_2,0
RequestBodyExtension,0
RequestBodyContent,3
MaxItems_Depth_1,1
ResponseCode_403,5
ResponseCode_201,1
path_Parameter,10
Items_Depth_1,18
Link,0
Enum_Depth_1,15
