OpenAPI feature,Count
MaxLength_Depth_1,11
MinLength_Depth_2,6
SchemaComponent,11
SecurityScheme_In_query,2
GlobalWebhook,0
Enum_Depth_2,0
SchemaExtension_Depth_2,0
RequiredParameter,3
ServerExtension,0
ResponsesExtension,0
ResponseContent,22
ResponseExtension,0
query_Parameter,23
HeaderComponent,0
SecuritySchemeComponent,2
Header,0
RefSchema_Depth_2,12
RequestBodyExtension,0
SchemaType_object,41
Encoding,0
RefSchema_Depth_1,35
MediaTypeEncoding,0
SchemaType_array,14
CallbackComponent,0
SchemaType_string,142
Responses,5
Link,0
ResponseCode_200,5
Callback,0
ExternalDocExtension,0
ServerVariable,0
ResponseLink,0
Items_Depth_1,8
Schema_Depth_2,50
ResponseComponent,0
OperationParameter,14
RequestBodyContent,3
SchemaExample_Depth_1,97
LinkComponent,0
MaxLength_Depth_2,6
DeprecatedSchema_Depth_1,4
RequestBodyComponent,0
Operation,5
RequiredSchema_Depth_1,10
SchemaExtension_Depth_1,0
ParameterExtension,0
SchemaExample_Depth_2,42
SecurityScheme_Type_apiKey,2
GlobalSecurity,2
RequestBodyContent_application/x-www-form-urlencoded,3
ParameterExample,20
Example,159
Path_Get,2
Maximum_Depth_1,3
Schema_Depth_3,6
SecuritySchemeExtension,0
Properties_Depth_2,42
Items_Depth_2,6
SchemaExtension_Depth_3,0
Server,1
Enum_Depth_1,30
ResponseContent_application/json,11
XMLExtension,0
ResponseContent_text/xml,11
Format_url_Depth_1,1
ExampleComponent,0
GlobalExternalDoc,1
Schema_Depth_1,158
MediaTypeExtension,0
ResponseCode_420,1
ResponseHeader,0
Enum_Depth_3,0
OperationExtension,0
PathServer,0
PathExtension,0
Format_url_Depth_2,3
ComponentExtension,0
SchemaType_boolean,2
Properties_Depth_3,0
ParameterComponent,9
Path,5
Path_Post,3
RequestBody,3
Response,11
PathParameter,0
Component,22
GlobalExtension,0
Tag,0
Properties_Depth_1,99
MinLength_Depth_1,11
XMLSchema_Depth_1,28
RequiredRequestBody,3
ResponseCode_401,5
SchemaType_integer,15
