OpenAPI feature,Count
MediaTypeEncoding,0
Link,0
Enum_Depth_2,608
SchemaExtension_Depth_2,78
Format_date_Depth_2,154
RequestBodyContent_application/json,1
PathParameter,0
Format_date_Depth_1,363
Path_Get,4
OperationExtension,0
Enum_Depth_1,2866
ResponseLink,0
RefSchema_Depth_1,1924
SecurityScheme_Type_http,1
ComponentExtension,0
GlobalExtension,1
Header,0
SchemaExample_Depth_2,918
path_Parameter,3
MaxLength_Depth_1,31
SchemaType_boolean,164
ResponseCode_409,1
ResponseComponent,12
HeaderComponent,0
GlobalWebhook,0
query_Parameter,14
ResponseContent_application/json,31
MediaTypeExtension,0
SchemaType_array,28
RequiredSchema_Depth_2,12
RequestBodyExtension,0
SchemaComponent,149
ResponseCode_400,2
Format_uri_Depth_2,54
SchemaExample_Depth_1,1910
SchemaExtension_Depth_1,208
AllOf_Depth_2,24
Path_Post,1
Properties_Depth_1,2128
RequestBody,1
RequestBodyContent,1
PathExtension,0
SchemaType_number,105
SecuritySchemeComponent,1
SecuritySchemeExtension,0
LinkComponent,0
SchemaType_object,594
MinLength_Depth_1,31
Example,2845
ParameterExtension,0
Responses,6
ResponsesExtension,0
Items_Depth_1,28
MinLength_Depth_2,18
Server,1
Component,163
RequestBodyComponent,0
SecurityScheme_Scheme_basic,1
ResponseCode_422,2
MaxLength_Depth_2,18
Format_uri_Depth_1,192
ResponseContent,33
ResponseCode_200,6
SchemaType_integer,126
Response,21
ResponseHeader,0
AnyOf_Depth_2,4
PathServer,0
ExampleComponent,0
ServerVariable,0
OperationParameter,16
RefSchema_Depth_2,1036
Discriminator_Depth_1,20
RequiredSchema_Depth_1,98
Path,4
Operation,6
RequiredParameter,8
Callback,0
AllOf_Depth_1,107
ResponseCode_404,3
CallbackComponent,0
ServerExtension,0
ParameterExample,17
ResponseExtension,0
ResponseCode_401,5
ResponseContent_application/octet-stream,2
Path_Delete,1
ParameterComponent,1
Encoding,0
SchemaType_string,2556
Properties_Depth_2,1012
OneOf_Depth_1,9
ResponseCode_403,2
Tag,0
