OpenAPI feature,Count
ParameterExample,11
ResponseCode_200,3
ResponseContent,3
Link,0
SchemaType_array,1
Items_Depth_1,1
OperationParameter,11
Properties_Depth_1,12
SchemaExample_Depth_2,13
HeaderExample,54
ExampleExtension,0
ResponseLink,0
Enum_Depth_2,0
Properties_Depth_2,13
SchemaExample_Depth_1,76
SchemaExtension_Depth_1,0
Example,157
MediaTypeEncoding,0
Path_Get,3
Encoding,0
ServerExtension,0
query_Parameter,11
ResponseHeader,54
HeaderMultipleExamples,0
SchemaType_number,12
PathServer,0
GlobalExtension,0
Server,1
Enum_Depth_1,0
Header,54
MediaTypeExtension,0
PathParameter,0
Tag,0
SchemaType_string,77
HeaderStyle_,108
PathExtension,0
Responses,3
HeaderContent,0
ParameterExtension,0
HeaderExtension,0
GlobalWebhook,0
Path,3
OperationExtension,0
Response,3
ResponsesExtension,0
ResponseContent_application/json,3
SchemaType_object,4
ResponseExtension,0
Callback,0
ServerVariable,0
Operation,3
SchemaExtension_Depth_2,0
