OpenAPI feature,Count
ResponseContent_application/atom+xml,1
OperationTag,4
Enum_Depth_1,18
Response,10
ResponsesExtension,0
ResponseLink,0
MediaTypeEncoding,0
GlobalExtension,0
ServerExtension,0
Tag,1
ResponseContent,4
ResponseExtension,0
PathExtension,0
ResponseContent_application/nsidcfacets+xml,1
Operation,4
OperationExtension,0
Responses,4
Header,0
Link,0
ResponseContent_application/x-suggestions+json,1
MediaTypeExtension,0
Callback,0
OperationParameter,20
query_Parameter,20
Encoding,0
ResponseHeader,0
TagExtension,0
SchemaType_string,20
SchemaExtension_Depth_1,0
ResponseContent_application/opensearchdescription+xml,1
ServerVariable,0
ParameterExtension,0
ResponseCode_400,3
GlobalWebhook,0
ResponseCode_500,3
PathParameter,0
SchemaType_integer,4
Server,1
Path,4
Path_Get,4
RequiredParameter,2
Format_date_Depth_1,4
Properties_Depth_1,0
Example,0
ResponseCode_200,4
PathServer,0
