OpenAPI feature,Count
SecurityScheme_Type_apiKey,1
SecuritySchemeExtension,0
OperationExtension,0
SchemaType_string,126
Encoding,0
ResponseHeader,0
ResponseExtension,0
SecurityScheme_In_query,1
SchemaExtension_Depth_3,0
Items_Depth_3,3
ResponseComponent,0
Operation,2
ResponseCode_200,2
RefSchema_Depth_3,2
PathServer,0
ServerVariable,0
SchemaType_object,24
SecuritySchemeComponent,1
GlobalExternalDoc,1
Items_Depth_2,10
Properties_Depth_4,0
RequestBodyComponent,0
HeaderComponent,0
ServerExtension,0
SchemaExtension_Depth_2,0
SchemaExtension_Depth_4,0
Callback,0
GlobalWebhook,0
RequiredParameter,4
ParameterExtension,0
Response,2
Header,0
Items_Depth_1,9
Properties_Depth_2,83
Properties_Depth_3,57
Enum_Depth_4,0
ComponentExtension,0
Server,2
Path,2
query_Parameter,5
Responses,2
Component,3
ExampleComponent,0
LinkComponent,0
GlobalExtension,0
Enum_Depth_1,24
ResponseContent_application/json,2
SchemaType_array,22
Enum_Depth_2,0
MediaTypeExtension,0
Path_Get,2
PathParameter,0
ParameterComponent,0
Tag,0
Properties_Depth_1,34
Enum_Depth_3,0
Link,0
CallbackComponent,0
GlobalSecurity,1
ExternalDocExtension,0
Example,0
RefSchema_Depth_2,4
PathExtension,0
SchemaComponent,2
OperationParameter,7
SchemaExtension_Depth_1,0
ResponseContent,2
SchemaType_integer,35
MediaTypeEncoding,0
path_Parameter,2
ResponsesExtension,0
ResponseLink,0
