OpenAPI feature,Count
RequestBodyContent,19
Server,2
Response,19
Header,0
PathParameter,15
Properties_Depth_1,19
SchemaExample_Depth_2,1
Encoding,0
ResponseExtension,0
ParameterExample,6
ServerVariable,0
RequiredParameter,15
MediaTypeExample,12
GlobalWebhook,0
RequestBodyContent_application/octet-stream,7
Example,37
SchemaType_object,11
Properties_Depth_2,0
TagExtension,0
RequestBodyExtension,0
SchemaType_string,33
Items_Depth_1,1
ResponsesExtension,0
ResponseCode_200,19
ResponseLink,0
Operation,19
Path_Post,12
OperationTag,12
RequestBodyContent_text/plain,8
ResponseContent,0
Callback,0
Enum_Depth_1,0
OperationExtension,0
RequestBody,19
RequestBodyContent_application/json,4
GlobalExtension,0
SchemaExample_Depth_1,18
Path_Delete,1
Tag,4
OperationParameter,6
MediaTypeExtension,0
PathExtension,0
query_Parameter,6
SchemaExtension_Depth_2,0
Path,17
Responses,19
ResponseHeader,0
path_Parameter,15
Path_Put,1
ServerExtension,0
Path_Get,5
SchemaExtension_Depth_1,0
SchemaType_array,1
MediaTypeEncoding,0
Link,0
PathServer,0
ParameterExtension,0
Enum_Depth_2,0
