OpenAPI feature,Count
Properties_Depth_1,5075
Minimum_Depth_1,83
ResponseCode_500,7
RequiredParameter,3
GlobalExtension,0
ServerVariable,0
ResponseCode_501,7
AnyOf_Depth_1,922
Enum_Depth_4,0
Properties_Depth_4,0
Properties_Depth_5,0
MinItems_Depth_3,4
MinItems_Depth_2,12
PathServer,0
Component,53
ExampleComponent,0
Pattern_Depth_1,176
RequiredSchema_Depth_1,1802
Properties_Depth_2,3499
Link,0
Properties_Depth_3,158
ResponseCode_403,7
path_Parameter,3
Format_uri_Depth_2,640
SchemaExtension_Depth_3,0
Responses,8
Server,1
OperationTag,8
Encoding,0
AllOf_Depth_1,1687
Enum_Depth_2,64
Format_date-time_Depth_1,75
NullableSchema_Depth_2,28
PathParameter,0
ResponseCode_553,7
Enum_Depth_5,0
SchemaExtension_Depth_1,0
Format_email_Depth_1,72
RefSchema_Depth_1,2658
SchemaType_array,473
MinLength_Depth_2,640
Operation,8
query_Parameter,49
MaxItems_Depth_1,8
PathExtension,0
SchemaComponent,53
OperationExtension,0
OperationParameter,52
ParameterExtension,0
Format_date-time_Depth_2,14
Example,0
Header,0
MinLength_Depth_1,1670
ServerExtension,0
Response,57
ResponseHeader,0
SchemaType_object,4776
ResponseCode_200,8
AllOf_Depth_3,32
ResponseCode_404,7
GlobalWebhook,0
AnyOf_Depth_2,349
SchemaType_number,39
MaxItems_Depth_3,4
SchemaType_string,5078
Items_Depth_2,98
ResponseExtension,0
ResponseCode_400,7
MaxLength_Depth_1,1670
Items_Depth_1,351
ParameterComponent,0
Tag,0
Path,8
ResponseContent,57
RefSchema_Depth_2,1988
ResponseCode_422,7
Callback,0
SecuritySchemeComponent,0
RequiredSchema_Depth_2,1000
SchemaExtension_Depth_2,0
ResponseLink,0
MinItems_Depth_1,8
LinkComponent,0
Enum_Depth_1,46
SchemaType_integer,187
Enum_Depth_3,12
RequiredSchema_Depth_3,110
ResponseContent_text/csv; header=present,1
Path_Get,8
ResponseContent_application/json,56
Format_uri_Depth_1,1670
RequestBodyComponent,0
CallbackComponent,0
ComponentExtension,0
AllOf_Depth_2,1335
MaxLength_Depth_2,640
Pattern_Depth_2,85
HeaderComponent,0
MaxItems_Depth_2,12
AdditionalProperties_Depth_1,10
SchemaType_boolean,73
RefSchema_Depth_3,76
Items_Depth_4,2
SchemaExtension_Depth_5,0
NullableSchema_Depth_1,56
MediaTypeEncoding,0
ResponseComponent,0
ResponsesExtension,0
MediaTypeExtension,0
Items_Depth_3,22
SchemaExtension_Depth_4,0
