OpenAPI feature,Count
ComponentExtension,0
TagExtension,0
ResponseLink,0
RequiredSchema_Depth_2,18
SchemaExtension_Depth_3,0
GlobalExtension,0
SchemaExtension_Depth_1,0
path_Parameter,1
ResponseCode_404,1
Encoding,0
ResponseHeader,0
PathParameter,0
Enum_Depth_3,0
ServerExtension,0
Items_Depth_1,23
Format_iso-country-code_Depth_2,4
MediaTypeEncoding,0
Tag,1
Path,2
Enum_Depth_1,8
ResponseContent,9
RefSchema_Depth_3,2
ResponseComponent,0
Format_bcp-47_Depth_1,2
ParameterExtension,0
Header,0
ResponseCode_200,2
PathExtension,0
ExampleComponent,0
Operation,2
OperationParameter,9
Example,0
SchemaType_array,25
Format_constant_Depth_1,10
Format_integer-positive_Depth_1,3
GlobalWebhook,0
Path_Get,2
query_Parameter,8
RequiredParameter,3
ResponseExtension,0
ResponseCode_500,2
Component,8
OperationTag,2
SchemaType_string,91
ResponseContent_application/json,9
RefSchema_Depth_1,9
Format_json-path_Depth_2,9
Callback,0
OperationExtension,0
SchemaType_integer,4
Responses,2
Properties_Depth_3,4
CallbackComponent,0
RefSchema_Depth_2,14
ResponseCode_429,2
PathServer,0
Format_iso-country-code_Depth_1,3
ParameterComponent,0
HeaderComponent,0
Server,1
Properties_Depth_2,43
Link,0
Response,9
RequiredSchema_Depth_1,14
Items_Depth_2,2
Format_json-path_Depth_1,1
SecuritySchemeComponent,0
Properties_Depth_1,51
SchemaExtension_Depth_2,0
MediaTypeExtension,0
ResponsesExtension,0
Format_constant_Depth_2,9
SchemaComponent,8
RequestBodyComponent,0
LinkComponent,0
ServerVariable,0
Enum_Depth_2,0
ResponseCode_422,2
