OpenAPI feature,Count
ResponseComponent,0
LinkComponent,0
Path_Get,19
ResponsesExtension,0
Header,0
SchemaExtension_Depth_2,0
Schema_Depth_3,230
Format_date-time_Depth_3,12
path_Parameter,18
SchemaType_integer,617
SchemaType_string,936
Properties_Depth_4,32
SchemaType_boolean,35
ResponseContent_application/json,41
NullableSchema_Depth_1,681
Items_Depth_1,86
Format_int32_Depth_4,12
OperationExtension,0
Properties_Depth_2,529
ResponseContent_text/json,41
SchemaType_array,136
NullableSchema_Depth_2,255
ComponentExtension,0
Operation,19
Format_int32_Depth_1,323
ResponseCode_400,16
PathParameter,0
Enum_Depth_3,16
SchemaComponent,43
SecuritySchemeComponent,0
OperationTag,19
ResponseHeader,0
ResponseContent,123
RefSchema_Depth_1,187
Format_int32_Depth_2,203
RefSchema_Depth_4,8
RequiredParameter,18
Properties_Depth_1,937
Format_date-time_Depth_1,20
ResponseCode_200,19
ResponseContent_text/plain,41
Items_Depth_3,8
ParameterComponent,0
RequestBodyComponent,0
Example,0
Enum_Depth_2,180
GlobalWebhook,0
Enum_Depth_4,0
HeaderComponent,0
ServerVariable,0
SchemaExtension_Depth_1,0
ParameterExtension,0
Link,0
ResponseCode_404,11
Format_date-time_Depth_2,35
AdditionalProperties_Depth_1,82
Properties_Depth_3,188
GlobalExtension,0
ServerExtension,0
Path,19
OperationParameter,54
Encoding,0
ResponseExtension,0
Server,1
MediaTypeExtension,0
PathServer,0
Format_int32_Depth_3,79
Schema_Depth_4,40
Tag,0
MediaTypeEncoding,0
query_Parameter,36
Enum_Depth_1,219
SchemaType_object,318
NullableSchema_Depth_4,20
NullableSchema_Depth_3,97
Component,43
Schema_Depth_1,1157
Responses,19
Schema_Depth_2,697
PathExtension,0
RefSchema_Depth_3,42
SchemaExtension_Depth_3,0
ExampleComponent,0
CallbackComponent,0
Response,46
ResponseLink,0
Callback,0
RefSchema_Depth_2,142
Items_Depth_2,42
SchemaExtension_Depth_4,0
