OpenAPI feature,Count
MediaTypeExtension,0
ResponseCode_401,362
Format_date_Depth_1,283
Format_integer_Depth_1,17
SchemaType_integer,220
Server,1
Enum_Depth_1,8074
ResponseContent,1736
RefSchema_Depth_1,1770
Format_int32_Depth_1,232
Format_date-time_Depth_1,119
Schema_Depth_3,88
Format_password_Depth_1,10
ParameterComponent,0
Path_Get,222
Operation,362
OperationParameter,1477
ParameterExtension,0
SchemaType_object,5552
Items_Depth_1,1635
Link,0
PathExtension,0
Path_Post,29
Properties_Depth_1,11382
Properties_Depth_2,465
ResponseCode_200,297
RequestBody,59
RequestBodyExtension,0
RequestBodyContent_application/json,59
Format_double_Depth_1,178
HeaderComponent,0
Tag,0
OperationTag,362
Response,1810
ResponseCode_500,362
Format_binary_Depth_1,25
LinkComponent,0
CallbackComponent,0
OperationExtension,0
SchemaType_string,8809
ResponseCode_400,362
Path_Patch,11
ServerVariable,0
path_Parameter,656
RequiredParameter,1437
Responses,362
ResponseContent_application/json,1736
SchemaType_array,1667
SchemaType_boolean,312
Path_Delete,62
SchemaExtension_Depth_3,0
ResponseComponent,0
ExternalDocExtension,0
header_Parameter,722
ResponseLink,0
Callback,0
PathServer,0
PathParameter,0
ResponseCode_201,29
RequestBodyContent,59
ServerExtension,0
Example,0
ResponseCode_204,36
SchemaType_number,178
Schema_Depth_1,14699
SchemaExtension_Depth_2,0
Items_Depth_2,32
ExampleComponent,0
Encoding,0
Header,0
MediaTypeEncoding,0
ResponseExtension,0
Enum_Depth_3,56
Properties_Depth_3,56
SchemaComponent,45
Enum_Depth_2,0
XMLSchema_Depth_1,1811
RequestBodyComponent,15
GlobalExtension,0
ResponseHeader,0
RequiredRequestBody,59
GlobalExternalDoc,1
Path,230
XMLExtension,0
SecuritySchemeComponent,0
GlobalWebhook,0
Format_string_Depth_1,722
ResponsesExtension,0
ResponseCode_404,362
Schema_Depth_2,2100
query_Parameter,99
Path_Put,38
ComponentExtension,0
SchemaExtension_Depth_1,0
Component,60
