OpenAPI feature,Count
PathParameter,0
RequestBodyContent,2
Component,7
Callback,0
Items_Depth_1,25
ParameterExtension,0
ResponseContent,10
PathExtension,0
Enum_Depth_1,9
query_Parameter,1
RequestBodyComponent,0
MediaTypeExtension,0
Path,10
OperationTag,10
OperationParameter,11
Properties_Depth_2,0
ExampleExtension,0
Server,1
Response,10
Header,0
ResponseContent_application/json,6
MediaTypeExample,2
ParameterComponent,0
HeaderComponent,0
RequiredParameter,10
Operation,10
Link,0
SchemaType_boolean,10
SecuritySchemeComponent,0
ServerExtension,0
Tag,6
OperationExtension,0
path_Parameter,10
SchemaType_string,208
ResponsesExtension,0
ResponseLink,0
RequiredSchema_Depth_1,14
ServerVariable,0
ExampleComponent,0
ComponentExtension,0
ResponseContent_text/plain,4
ResponseHeader,0
SchemaType_array,25
MediaTypeEncoding,0
ResponseExtension,0
PathServer,0
SchemaExample_Depth_1,2
GlobalExtension,0
Properties_Depth_1,238
Example,14
SchemaExtension_Depth_2,0
RequestBodyExtension,0
Encoding,0
RequestBodyContent_application/json,2
SchemaExtension_Depth_1,0
Path_Get,8
SchemaType_object,18
Path_Post,2
TagExtension,0
SchemaComponent,7
ResponseComponent,0
CallbackComponent,0
GlobalWebhook,0
Responses,10
Enum_Depth_2,0
RequestBody,2
RefSchema_Depth_1,1
LinkComponent,0
ResponseCode_200,10
SchemaType_number,3
