OpenAPI feature,Count
Response,158
Format_int32_Depth_1,129
ResponsesExtension,0
ResponseCode_202,1
SecurityScheme_Type_http,1
Format_date-time_Depth_1,85
Format_Int32_Depth_2,10
Format_uuid_Depth_3,23
RequestBodyComponent,0
RequiredParameter,50
SchemaType_string,1180
ParameterExtension,0
ResponseLink,0
GlobalWebhook,0
Responses,42
Items_Depth_2,4
ResponseComponent,11
RequestBodyExtension,0
ResponseCode_422,4
ServerExtension,0
TagExtension,0
RefSchema_Depth_1,193
PathParameter,0
Server,1
Properties_Depth_1,951
ParameterComponent,16
Format_int32_Depth_2,11
Enum_Depth_3,0
SecurityScheme_Scheme_bearer,1
Tag,3
Operation,42
ResponseCode_404,32
SchemaType_object,100
SchemaType_integer,194
MediaTypeExtension,0
AllOf_Depth_1,37
ResponseExtension,0
ResponseCode_401,35
ExampleComponent,0
SecuritySchemeComponent,1
ResponseContent_application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1
ComponentExtension,0
ServerVariable,0
AllOf_Depth_3,5
Component,48
SecuritySchemeExtension,0
Path_Get,22
OperationParameter,55
ResponseContent_text/html,3
Format_date-time_Depth_3,12
Callback,0
query_Parameter,21
SchemaType_boolean,165
BearerFormat,1
ResponseCode_400,26
Schema_Depth_2,652
ResponseCode_410,1
NullableSchema_Depth_1,29
Items_Depth_1,40
Format_binary_Depth_1,3
Properties_Depth_3,52
Path_Put,2
GlobalExtension,0
RequestBody,15
RequestBodyContent,15
ResponseCode_415,4
RequestBodyContent_multipart/form-data,2
RefSchema_Depth_3,10
ResponseCode_302,1
SchemaExtension_Depth_1,235
Format_uuid_Depth_1,210
Header,0
Enum_Depth_2,0
Example,0
SchemaExtension_Depth_2,225
ResponseContent_application/vnd.openxmlformats-officedocument.wordprocessingml.document,1
SchemaExtension_Depth_3,22
Schema_Depth_1,1285
Link,0
RequiredRequestBody,14
HeaderComponent,0
Format_Int32_Depth_1,10
Enum_Depth_1,8
ResponseContent_application/json,148
ResponseCode_403,10
NullableSchema_Depth_2,23
ResponseCode_204,11
Path_Post,13
LinkComponent,0
Path_Delete,5
Format_binary_Depth_2,2
ResponseContent_application/vnd.openxmlformats-officedocument.presentationml.presentation,1
SchemaComponent,20
PathServer,0
Format_int32_Depth_3,1
Format_Int32_Depth_3,1
Path,28
ResponseHeader,0
RequestBodyContent_application/json,13
MediaTypeEncoding,0
PathExtension,0
SchemaType_array,44
AllOf_Depth_2,49
RefSchema_Depth_2,99
Schema_Depth_3,66
AdditionalPropertiesAllowed_Depth_1,2
CallbackComponent,0
OperationExtension,25
ResponseCode_200,33
Format_date-time_Depth_2,107
Format_uuid_Depth_2,222
path_Parameter,50
RequiredSchema_Depth_1,3
OperationTag,40
Encoding,0
ResponseContent,154
Properties_Depth_2,514
NullableSchema_Depth_3,2
