OpenAPI feature,Count
ServerVariable,0
Header,0
OperationExtension,0
Pattern_Depth_1,11
PathExtension,0
SecurityScheme_Type_apiKey,1
Tag,0
Path_Get,14
Link,0
RequiredParameter,9
Operation,14
ExampleComponent,0
Properties_Depth_1,0
Example,14
path_Parameter,7
RequestBodyComponent,0
HeaderComponent,0
OperationTag,14
OperationParameter,34
SchemaType_string,22
SchemaType_boolean,10
ParameterComponent,0
Server,2
Response,14
ResponseHeader,0
ResponseExtension,0
PathServer,0
Format_int32_Depth_1,2
SecuritySchemeComponent,1
ParameterExtension,0
ResponseContent_application/json,14
ExampleExtension,0
MediaTypeEncoding,0
PathParameter,0
ResponseLink,0
SchemaType_integer,2
ResponseComponent,0
query_Parameter,27
Responses,14
Component,1
MediaTypeExtension,0
Schema_Depth_1,48
SchemaExtension_Depth_1,0
Callback,0
SchemaComponent,0
SecurityScheme_In_header,1
Enum_Depth_1,0
ResponseCode_200,14
LinkComponent,0
ComponentExtension,0
ResponsesExtension,0
ResponseContent,14
SchemaType_object,14
SecuritySchemeExtension,0
GlobalWebhook,0
GlobalExtension,0
ServerExtension,0
Path,14
Encoding,0
CallbackComponent,0
