OpenAPI feature,Count
SchemaExtension_Depth_2,0
ResponseComponent,65
Response,484
RequestBodyContent,92
SchemaExample_Depth_3,241
ResponseCode_500,11
RefSchema_Depth_4,6
RequiredSchema_Depth_3,3
Path_Get,72
SchemaType_string,4820
ParameterComponent,17
GlobalExtension,0
SchemaExample_Depth_1,2085
ResponseHeader,0
SchemaExtension_Depth_4,0
ResponseCode_201,10
Format_binary_Depth_1,8
SchemaExtension_Depth_3,0
TagExtension,0
RequiredSchema_Depth_1,129
Enum_Depth_2,547
SchemaExample_Depth_2,1034
Enum_Depth_1,1237
ResponseCode_401,116
OperationTag,147
Items_Depth_1,559
Properties_Depth_2,1742
RefSchema_Depth_1,3094
Format_date_Depth_2,5
GlobalSecurity,1
GlobalWebhook,0
Responses,147
MediaTypeExtension,0
AllOf_Depth_1,16
Format_date_Depth_1,6
Items_Depth_2,171
SchemaExample_Depth_4,30
Header,0
SchemaType_integer,400
Format_date-time_Depth_2,136
Path_Put,15
Component,259
Example,3561
ParameterExtension,0
RequiredRequestBody,86
RefSchema_Depth_3,207
Tag,21
SchemaComponent,148
LinkComponent,0
path_Parameter,140
Encoding,0
ReadOnlySchema_Depth_2,570
ResponseContent_application/pdf,6
CallbackComponent,0
PathParameter,0
RequestBody,92
SchemaType_boolean,420
Enum_Depth_4,0
OperationParameter,202
SchemaType_array,748
RequestBodyComponent,28
SecuritySchemeExtension,0
MediaTypeEncoding,0
Format_URL_Depth_2,6
Format_URL_Depth_1,24
Format_date-time_Depth_3,18
Items_Depth_3,18
SecuritySchemeComponent,1
Path,99
ResponseLink,0
Path_Patch,16
Enum_Depth_3,39
OneOf_Depth_2,3
ExampleComponent,0
HeaderComponent,0
Server,1
RequiredParameter,144
Path_Post,35
ResponseCode_204,9
ServerVariable,0
RequestBodyExtension,0
ResponseCode_403,79
DeprecatedOperation,4
ResponsesExtension,0
ResponseContent,535
SchemaType_object,1511
ResponseContent_application/json,527
Format_float_Depth_1,21
WriteOnlySchema_Depth_1,5
Properties_Depth_1,4104
PathServer,0
RequiredSchema_Depth_2,8
PathExtension,0
ResponseContent_application/csv,2
ComponentExtension,0
ServerExtension,0
SchemaType_number,30
SecurityScheme_Scheme_bearer,1
BearerFormat,1
ReadOnlySchema_Depth_1,1360
Link,0
ParameterExample,40
Format_float_Depth_2,9
ReadOnlySchema_Depth_3,69
OperationExtension,0
RequestBodyContent_application/json,92
RefSchema_Depth_2,1298
Format_date-time_Depth_1,240
SecurityScheme_Type_http,1
Properties_Depth_3,279
Path_Delete,9
OneOf_Depth_1,5
ResponseExtension,0
MediaTypeExample,131
query_Parameter,79
ResponseCode_404,81
ResponseCode_400,50
Properties_Depth_4,24
Operation,147
SchemaExtension_Depth_1,0
ResponseCode_200,128
Callback,0
