OpenAPI feature,Count
SecuritySchemeComponent,0
Enum_Depth_1,0
Enum_Depth_2,0
Properties_Depth_2,15
MediaTypeEncoding,0
SchemaExample_Depth_1,13
RequestBodyComponent,0
Component,2
ComponentExtension,0
Server,1
ResponsesExtension,0
ResponseHeader,0
Schema_Depth_2,18
SchemaType_string,28
SchemaExtension_Depth_2,0
ServerExtension,0
Link,0
PathParameter,4
LinkComponent,0
ResponseContent_application/json,4
ParameterExtension,0
query_Parameter,2
ExampleComponent,0
GlobalExtension,0
ResponseContent,4
RequiredParameter,2
Maximum_Depth_1,2
HeaderComponent,0
ServerVariable,0
OperationTag,4
MediaTypeExtension,0
Tag,2
Items_Depth_1,3
ResponseExtension,0
PathServer,0
Operation,4
SchemaType_array,3
TagExtension,0
Path,4
OperationExtension,0
SchemaType_object,14
SchemaExtension_Depth_1,0
path_Parameter,2
Responses,4
Example,26
PathExtension,0
RefSchema_Depth_1,3
CallbackComponent,0
Path_Get,4
RefSchema_Depth_2,5
SchemaComponent,2
Header,0
Callback,0
Response,4
ResponseCode_200,4
ParameterComponent,0
OperationParameter,0
Encoding,0
SchemaExample_Depth_2,13
ResponseLink,0
Schema_Depth_1,29
Properties_Depth_1,19
SchemaType_integer,2
ResponseComponent,0
GlobalWebhook,0
