OpenAPI feature,Count
PathServer,0
RequiredParameter,28
ParameterExtension,0
Format_uri_Depth_2,19
Items_Depth_2,5
Format_date_Depth_2,4
Server,1
Pattern_Depth_1,28
SchemaExtension_Depth_1,0
NullableSchema_Depth_1,48
Maximum_Depth_2,4
Minimum_Depth_2,4
GlobalWebhook,0
Responses,30
ResponseContent,30
OperationParameter,68
Minimum_Depth_1,6
ResponseExtension,0
path_Parameter,28
Properties_Depth_3,40
Format_slug_Depth_3,1
Maximum_Depth_3,2
Minimum_Depth_3,2
SchemaType_object,133
Encoding,0
ExampleComponent,0
SchemaType_boolean,15
Format_uri_Depth_3,2
MaxLength_Depth_3,1
ComponentExtension,0
Pattern_Depth_2,15
SchemaType_number,8
PathExtension,0
Format_decimal_Depth_1,4
RequiredSchema_Depth_3,1
SchemaExample_Depth_1,1
OperationTag,30
Link,0
SchemaType_integer,280
ReadOnlySchema_Depth_1,329
Maximum_Depth_1,6
SchemaExtension_Depth_3,0
HeaderComponent,0
Operation,30
ResponseContent_application/json,30
Format_slug_Depth_2,15
NullableSchema_Depth_3,11
PathParameter,20
ReadOnlySchema_Depth_2,123
MediaTypeExtension,0
Format_date_Depth_1,4
Format_date-time_Depth_1,14
Component,27
ParameterComponent,0
ServerExtension,0
Tag,0
RequestBodyComponent,0
SecuritySchemeComponent,0
ResponsesExtension,0
query_Parameter,60
RequiredSchema_Depth_2,16
SchemaExtension_Depth_2,0
NullableSchema_Depth_2,19
MaxLength_Depth_2,13
ReadOnlySchema_Depth_3,5
Path_Get,30
RequiredSchema_Depth_1,61
MediaTypeEncoding,0
ResponseLink,0
SchemaType_array,32
Properties_Depth_2,197
RefSchema_Depth_3,1
ResponseCode_200,30
Example,2
Enum_Depth_2,48
MinLength_Depth_3,2
ResponseComponent,0
GlobalExtension,0
Response,30
ResponseHeader,0
Enum_Depth_1,48
MinLength_Depth_1,140
Pattern_Depth_3,1
LinkComponent,0
ServerVariable,0
Path,30
Items_Depth_1,27
RefSchema_Depth_2,20
MinLength_Depth_2,45
SchemaComponent,27
CallbackComponent,0
Properties_Depth_1,466
Format_slug_Depth_1,28
RefSchema_Depth_1,14
SchemaType_string,412
MaxLength_Depth_1,23
Format_uri_Depth_1,85
Callback,0
Enum_Depth_3,0
OperationExtension,0
Header,0
Format_date-time_Depth_2,4
SchemaExample_Depth_2,1
